"","row.names.tabla.","COM.rescaled","ED_SING.rescaled","EQUIP_EDU.rescaled","EQUIP_OTR.rescaled","EQUIP_SANI.rescaled","HOS_REST.rescaled","IND.rescaled","IND_MX.rescaled","OCIO_ESP.rescaled","OFI.rescaled","RES_PLU.rescaled","RES_PLU_MX.rescaled","RES_UNI.rescaled","RES_UNI_MX.rescaled","SIN_EDIF.rescaled"
"21","Cuellar_class.shp",0.0594530041504601,0.0393992976856029,0.0348705371900967,0.193298441133612,0.0206035821961422,0.0308333437519807,0.731941282109469,0.13046259338958,0.00925364598614813,0.0463428056262222,0.143342337806202,0.129026342702243,0.620073287436807,0.0529988042916135,0.395706903226792
"22","Cuenca_class.shp",0.178108347153503,0.0855963667409238,0.148424670803754,0.204996266607376,0.124117312814445,0.0495540269248016,0.303395165970934,0.178352567135302,0.0866528625913117,0.116144563074699,0.399889029189029,0.249430962421263,0.222800704788584,0.0660041213352717,0.555591265361175
"23","doshermanas_class.shp",0.138553471717124,0.0517383714029309,0.105132169607645,0.557817811512469,0.0429127550269918,0.0397918796576946,0.314868791405027,0.262101086159714,0.0101729882517895,0.0310287326827927,0.104163086547357,0.0993275659739122,0.620534187429497,0.0600985180362777,0.442522857271237
"24","Elche_class.shp",0.373973327158205,0.016831718688228,0.179140860100411,0.228638952631524,0.0604367983760237,0.14298864536185,0.270026196136863,0.240227834500735,0.0575724438518726,0.0277412003496113,0.253089803050055,0.334841616874267,0.777360512485368,0.184449458221065,0.259346328170295
"25","Fuenlabrada_class.shp",0.361065191232555,0.0497187918027691,0.354124050882846,0.414734118660417,0.117292251826283,0.211485662547862,0.676869175279169,0.808499778859976,0.0336572307743419,0.0382286139816116,0.392081624186207,0.171223387922472,0.11686886589691,0.00653281950891874,0.228264522790183
"26","Getafe.shp",0.211313342731163,0.0970533704289407,0.133042044724487,0.394425107859502,0.0944636518047579,0.0549823032563732,0.337733073165748,0.966488951022187,0.0487503786204976,0.0439199615176194,0.357125319373908,0.134610732004019,0.281977552751379,0.0102422135222265,0.337585993463119
"27","Gijon_class.shp",0.0894214997750178,0.0225428362551829,0.152197553250747,0.308434741693554,0.106876145354181,0.0707070206572758,0.587076094663087,0.343924078674657,0.064283548318586,0.0714854729359773,0.306374030009241,0.319514263913228,0.402999268102973,0.0535719316299844,0.348769493159663
"28","Girona_class.shp",0.355634454877189,0.0442833110094459,0.246372249668436,0.795723987146898,0.142594264571611,0.118024175505962,0.251928758398521,0.189453752479383,0.216589400117667,0.104055010089947,0.0751272362322372,0.903027638497597,0.160990444226983,0.728366854737805,0.148255842156405
"29","Granada_class.shp",0.180200904669975,0.0918175763733024,0.287458368049611,0.808790663146172,0.228052055311323,0.212831999784826,0.17648522665805,0.186306778105229,0.0883621000161533,0.162514747958667,0.524173123334283,0.603339944296227,0.337270676452252,0.0549700173304482,0.205065271809797
"30","Guadalajara_class.shp",0.180634973097767,0.0442284413513558,0.110942805747632,0.348416802227683,0.132119823396265,0.127437902752627,0.314012871139797,0.380229176365557,0.586194534745539,0.0793893074621368,0.275039399789838,0.240362975945496,0.271042458764431,0.0587285274108641,0.530321289845496
