"","COM","ED_SING","EQUIP_EDU","EQUIP_OTR","EQUIP_SANI","HOS_REST","IND","IND_MX","OCIO_ESP","OFI","RES_PLU","RES_PLU_MX","RES_UNI","RES_UNI_MX","SIN_EDIF"
"Castello_de_la_Plana_class.shp",-0.220864861999817,1.89452866280905,1.00816237030159,1.47215856097838,-0.0913064603960396,-1.02580483396358,1.83847504483076,1.90557970632273,-2.30997906112847,-2.44996646967362,2.11007559330342,1.6202973922623,2.42385939065216,0.199450375720256,3.81041055653992
"Ceuta_class.shp",-0.63103472494088,2.49206735066485,0.998602580023115,0.894124056416822,0.759951118078002,0.0749976334305984,1.70203319204793,1.76891751685917,-1.82490537544121,-1.01660345355202,1.91404972468394,1.47021154561275,2.66893382063942,0.751787670582212,3.67521978162648
"Ciudad_Real_class.shp",-0.9197597419379,0.752984669138867,1.69469325683394,2.37225656484634,1.37309480399366,-1.08721162391917,1.35796767201511,1.24320180590641,-2.01563779041955,-0.104149249536912,2.13453904649938,2.13226865354272,2.77206607318255,-0.601429263393834,3.56135053625334
"Cordoba_class.shp",-0.869391664224919,1.02522795308781,1.33222093205257,0.982951959724873,-0.727039966756802,-0.322864333540941,2.18055745373989,1.88042899406373,-3.20281007296266,-1.46645537912515,1.62962413869581,1.44415213049263,3.59046585957082,1.55733553293071,3.14016121461606
"Corunia_class.shp",-0.49872974146986,1.36829384454632,1.27264466829549,2.1749709247301,0.431048315870817,-2.02978242182844,2.04811514128171,1.64456923696241,-0.970855952125342,-0.749801556742337,1.94403290241562,2.07305187114516,2.26111601415989,0.325673063460471,3.73106859606211
"Cuellar_class.shp",-1.34874442755721,0.909926909643136,-0.0285416657003433,0.911123810295474,-1.61341551260762,-2.11529995849194,3.15175688376216,0.79337006415871,-4.51727286822657,-1.67501249009292,1.12402654975065,0.820035754689313,3.15332218216236,0.304683773460722,3.62630264675705
"Cuenca_class.shp",-0.251538524817231,1.65957514984522,1.4198936304462,0.969880255907377,0.182346723143946,-1.64083312484509,2.39322210691159,1.10604582468545,-2.28038045088586,-0.756242903032263,2.14997789139119,1.47920133736056,2.12976217693782,0.524131605249353,3.87491133994946
"doshermanas_class.shp",-0.502674253306514,1.17086545649722,1.07503438497553,1.97092089500803,-0.879711364582488,-1.86023378947166,2.42316110288638,1.49101377356496,-4.422554505786,-2.07616491568672,0.804748620572976,0.558442299667316,3.1540652052752,0.430399603637621,3.70570803734161
"Elche_class.shp",0.49025389530732,0.121813214675107,1.60798849253239,1.07903262191438,-0.537282302239378,-0.581131428200896,2.30068051944474,1.40387130262968,-2.6892464548746,-2.18815986625127,1.69253518831434,1.77367679875776,3.37938872836056,1.55178990746986,3.35092564145077
"Fuenlabrada_class.shp",0.45512794535591,1.1325495045967,2.2894633461934,1.67452612558833,0.125788232838728,-0.189739445427505,3.08098927039332,2.61746392467636,-3.22606258789507,-1.86749425931741,2.1302608528801,1.10298823025471,1.4845370074927,-1.78874695141983,3.27591904025084
"Getafe.shp",-0.0805885132649791,1.78251232083414,1.31048127223438,1.62431777020973,-0.0906653427809053,-1.53688527776231,2.48027579641868,2.7959533858131,-2.85557753876666,-1.72870963062867,2.03687756464283,0.862406310783797,2.36531197316315,-1.33906781877015,3.51804961329188
"Gijon_class.shp",-0.94056943888526,0.386858133734063,1.4449954376381,1.37839877535644,0.0327901776616376,-1.28535178218871,2.95365032207956,1.7627044506662,-2.57898676243522,-1.24158429830055,1.88359748561939,1.72682108148782,2.72241925138909,0.315439687996071,3.5398101933148
"Girona_class.shp",0.439972809371394,1.0214789806949,1.92665967043985,2.32614086450345,0.321122820473765,-0.77300717159385,2.24666253164431,1.16642846367478,-1.36428710697682,-0.866158849164122,0.477973969031447,2.76577232454656,1.8048295161613,2.92521926331279,3.05214725667335
"Granada_class.shp",-0.239858216277415,1.72819810607164,2.08089411118975,2.34242861216339,0.790693449361874,-0.183393531153217,1.98350383877407,1.14967817886795,-2.26084735789221,-0.420309797316557,2.42061282759809,2.36249995710971,2.54437030775054,0.341202317842231,3.2160230395429
"Guadalajara_class.shp",-0.237452310080632,1.020292412734,1.12883087320544,1.50028795925193,0.244828797527655,-0.696267443521198,2.42095836331656,1.86305768580827,-0.368638797712155,-1.13671485917594,1.7757051691678,1.4421693447711,2.32575998858075,0.407340016035976,3.83950226403389
"Hospitalet_de_Llobregat_class.shp",-0.162518258909765,0.731391344929254,1.70287082764298,2.41989219674614,-0.217296963466269,-1.41915141020252,2.73731211332158,2.80403819295822,-2.3687861153212,-0.378505987938945,2.44919727792071,2.75555709652011,1.06107259940212,-0.360683524716806,2.75114099658603
"Huelva_class.shp",-0.227488979024448,1.49043122091616,1.88775941109183,1.86364879748676,0.691484599237244,-1.33356150340102,1.55949787040845,1.8485982514357,-1.85923542039204,-1.52797774828835,1.77878595933744,1.68077677127288,1.47817639882675,-0.131947504780244,3.94000089655205
"Huesca_class.shp",-0.143360696630306,1.58057786272813,1.15644685090524,1.40280476125312,0.353890854957151,-2.19876864880125,3.11296374067997,1.16125016409742,-2.58728707699037,-0.799855047933022,1.98552344585184,1.71903094135728,1.50689014617409,-0.550806878057378,3.72177674922609
