Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
8293,Terrassa,Barcelona,Cataluña,223627.0,109948.0,113679.0,,71434.0,57933.0,129367.0,,5090.0,18688.0,102954.0,9206.0,9088.0,149620.0,3936.0,10339.0,5233.0,5074.0,1623.0,441.0,227.0,14302.0,11307.0,5786.0,3328.0,92845.0,63869.0,36006.0,19769.0,6870.0,4441.0,2510.0,1175.0,7969.0,4188.0,1384.0,669.0,,11.245964385341434,16.415778478517936,9.940595021675291,10.846623620011847,11.585622998544396,14.094393273936504,,0.0,2.0,27.0,0.0,6.0,23.0,0.0,12.0,56.0,2.0,4.0,99.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,0.0,6.0,49.0,271.0,2.0,31.0,285.0,,4018.0,10917.0,2321.0,314.0,62.0,60.0,45.0,32.0,277.0,505.0,241.0,53.0,86.0,22.0,,0.0
9020,Burgos ( municipio sin especificar),Burgos,Castilla y León,,,,,16.0,9.0,25.0,,0.0,2.0,45.0,9.0,2.0,61.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,36.0,16.0,7.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,15.419772727272727,,5.45,15.18388888888889,18.858,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
9131,Coruña del Conde,Burgos,Castilla y León,107.0,67.0,40.0,,43.0,14.0,57.0,,3.0,9.0,84.0,9.0,13.0,132.0,3.0,3.0,9.0,3.0,1.0,0.0,0.0,7.0,5.0,3.0,2.0,64.0,32.0,13.0,8.0,5.0,2.0,0.0,0.0,12.0,5.0,2.0,1.0,,14.540873786407767,19.536666666666665,10.434285714285714,14.074375,18.422,14.768333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
10016,Caceres ( municipio sin especificar),Cáceres,Extremadura,,,,,22.0,0.0,22.0,,5.0,6.0,78.0,5.0,9.0,108.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,57.0,30.0,11.0,8.0,4.0,1.0,0.0,0.0,8.0,2.0,1.0,0.0,,14.672738095238095,19.88,11.596666666666666,13.553508771929824,19.5575,17.49125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
10205,Torrejoncillo,Cáceres,Extremadura,2910.0,1410.0,1500.0,,1218.0,746.0,1964.0,,292.0,178.0,1679.0,178.0,247.0,2697.0,37.0,102.0,119.0,291.0,68.0,6.0,5.0,137.0,91.0,36.0,21.0,1471.0,807.0,343.0,176.0,115.0,48.0,18.0,11.0,221.0,103.0,26.0,15.0,,14.132190312901843,17.59955326460481,11.908978102189781,13.304167233174711,15.225913043478261,15.318597285067874,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
11017,Cadiz ( municipio sin especificar),Cádiz,Andalucía,,,,,1.0,0.0,1.0,,0.0,0.0,8.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
11021,Algeciras,Cádiz,Andalucía,123078.0,60729.0,62349.0,,40050.0,29711.0,69761.0,,6532.0,10747.0,61127.0,3800.0,4694.0,90188.0,2324.0,7761.0,3012.0,6485.0,1970.0,549.0,284.0,9139.0,7691.0,4003.0,2320.0,55089.0,39476.0,21217.0,11901.0,2833.0,1701.0,984.0,495.0,4099.0,2080.0,633.0,337.0,,11.172879798004926,16.366055512721665,9.277252434620856,10.568808473560965,12.104962936816095,14.312417662844597,,0.0,2.0,3.0,0.0,0.0,18.0,0.0,1.0,33.0,0.0,1.0,45.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,35.0,110.0,1.0,6.0,143.0,,558.0,2109.0,4.0,1.0,,40.0,15.0,37.0,91.0,187.0,104.0,11.0,33.0,35.0,,0.0
13019,Ciudad Real ( municipio sin especificar),Ciudad Real,Castilla-La Mancha,,,,,12.0,0.0,12.0,,1.0,2.0,5.0,2.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
14020,Cordoba ( municipio sin especificar),Córdoba,Andalucía,,,,,26.0,4.0,30.0,,4.0,2.0,34.0,3.0,5.0,50.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,27.0,17.0,9.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,11.933947368421052,14.4975,7.26,11.706666666666667,12.33,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
14068,Palenciana,Córdoba,Andalucía,1465.0,741.0,724.0,,532.0,297.0,829.0,,156.0,68.0,721.0,132.0,119.0,1259.0,33.0,78.0,83.0,156.0,21.0,2.0,2.0,58.0,39.0,12.0,10.0,650.0,419.0,196.0,100.0,93.0,31.0,7.0,4.0,108.0,49.0,15.0,5.0,,13.57267793594306,18.10224358974359,12.407586206896552,11.887384615384615,17.033763440860216,14.406481481481482,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
