,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,SIN_EDIF
48,Palencia_class.shp,0.8297366140237933,3.119013141007505,15.349101344310522,28.218536608584095,0.1586134395111261,0.1629239172747678,14.011335463721199,13.997104816005736,24.15363465556125
49,Palma_class.shp,0.5617866229341093,3.7802130729108874,9.695855271540545,8.284271898132735,1.8335224026601233,0.4939312856303201,16.192454078759706,19.71713173610854,39.44083363132304
50,Parla_clas.shp,1.2296236779511396,2.804689048816985,10.045354248904538,16.987323821450495,0.199105460504483,1.0487457720351043,12.792099474029813,7.571797721896767,47.32126077441068
51,Pontevedra_class.shp,0.4004018792334825,0.8755170618378695,8.24046817356152,13.96927861277991,0.633891886632889,0.2517819856671367,11.893450101339699,22.513605509287263,41.22160478966023
52,Reus_class.shp,0.4382223169949782,7.570000964393414,8.228609648471831,18.714885398818375,0.11500702826744849,0.2145112022606984,8.920601181520013,16.119405441983776,39.67875681728947
53,Sabadell.shp,0.931066339051867,1.68250164786023,13.304537884648742,15.763759517876867,0.7271261875929116,0.4004439942573536,18.02479616261931,16.047903816869486,33.117864449223234
54,Salamanca_class.shp,0.5090594538916628,4.694097740835687,19.56456379194021,17.454541030814603,0.7457530964553228,0.2816899918522983,18.92350749073986,4.708242688924408,33.118544714545955
55,San_Cristobal_de_la_Laguna_class.shp,0.6090500667338061,2.571795345268982,7.658571254191108,10.231377717734942,0.3513292865421346,0.1600083231962244,12.370533396458836,31.840329509262666,34.2070051006113
56,Santa_Coloma.shp,2.163694750362565,1.9325462995842029,22.68208041960851,7.3363683952937375,0.27896561951994514,0.2467982902791359,38.2683886417514,15.763919439639341,11.32723814396117
57,Santa_Cruz_Tenerife_class.shp,0.41721210675976,1.6766068242284926,8.191946850265431,10.769997351940917,0.2331844782145149,0.3412031061317125,18.207316684297286,16.58465262594571,43.577879972216174
58,Santander_class.shp,0.525893238504306,4.702533430300598,12.954648840458017,12.102006232393979,0.5749274817307268,0.4758846937680763,21.548010554709048,15.238098011148251,31.877997516987005
59,Segovia_class.shp,0.4261764743502075,11.4029633113366,10.524733781139222,15.61253213664803,1.4982343906655398,0.1132715378265442,17.31374518749699,10.873723266195247,32.23461991434163
60,Sevilla_class.shp,1.4209548554277105,8.477933430641144,13.69964622838262,8.556135426237553,1.2722459290949395,1.5402211691090466,27.25794777942003,18.10309315717436,19.671822024512597
61,Soria_class.shp,0.576406637424154,1.781677175184554,9.195795286978326,21.390335606283536,0.38039306293877306,0.5343072725354397,13.294317594818914,9.227254805330134,43.61951255850617
62,Tarragona_class.shp,0.3833905775895403,6.72637464231277,8.589140843244778,12.917283542816776,0.6418035402024926,1.3602271567828113,8.68461522867968,15.922230580419159,44.77493388795199
63,Telde_class.shp,0.7348014528116495,1.0073469875399808,3.328905017547376,15.687586101187598,0.139096984737159,0.1073117019392873,7.380544377312702,17.50974547553958,54.10466190138467
64,Terrasa_clas.shp,1.4082873461403105,2.949307559429885,6.4711773928710725,17.820360928719726,0.30184689200966974,0.2899134954363133,15.559751668110888,20.819830625324638,34.3795240919575
65,Teruel_class.shp,0.3564548263262423,1.9406611769010644,8.184521243637255,23.07610572542409,0.6117819986953725,0.0695420569893294,8.195785019089076,15.786483603816963,41.77866434912061
66,Toledo_class.shp,0.1912945680299857,10.147536177316578,10.420135771228342,9.377369449371525,1.0350634011965059,0.3928489536758671,5.405144082754937,23.896701649481443,39.13390594694482
67,Torrejon_clas.shp,0.2504810461745586,60.14330128802933,4.086056428725365,9.798919012058827,0.1958304846065015,0.1879149435957295,6.3419147935337365,2.4724442311599604,16.52313777211599
68,Valencia_class.shp,1.580610393283495,3.301966102810482,13.827156696257658,10.08696971960317,0.5928482395139183,0.5554139823919004,30.6176551118713,5.876545970504911,33.560833783763165
69,Valladolid_class.shp,0.4047456735120907,4.732780529547844,14.766527726564865,25.967124161639354,0.5830853994839427,0.3354313732198497,14.565057715367718,11.628775975505656,27.01647144515868
70,Vigo_class.shp,0.2761543833840084,2.100295771499942,9.74778278539503,13.287429698007422,0.3590587357806307,0.2601977157787096,7.6132810817089025,30.742750125641294,35.613049702804055
71,Zamora_class.shp,0.7500865812139088,2.9704231758743727,16.308517766124368,18.74539866176961,0.2852495060064119,0.1339179562988167,14.450021283280833,13.501339422939555,32.85504564649212
72,Zaragoza_class.shp,0.47759725611054,4.504670609301856,8.802090044523275,24.930464225433287,0.19195875828584902,0.1720925731514607,14.759574667662312,9.015556623001826,37.1459952425296
73,doshermanas_class.shp,0.6049108148734252,3.224782335508888,10.522279271251062,15.723060889936306,0.16763976790462792,0.125410255401689,3.9840819071426927,24.96899549850646,40.678839259474856
