Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
38004  Arafo,"2,707","1,932",452,323,0,,,,,
41011  Arahal,"8,207","6,351",396,"1,459",1,,,,,
09018  Aranda de Duero,"18,820","13,249","2,240","3,324",7,,,,,
15003  Aranga,"1,110",697,302,111,0,,,,,
31023  Aranguren,"2,926","2,590",84,246,5,,,,,
28013  Aranjuez,"24,800","20,040",553,"4,199",7,,,,,
25029  Arbeca,"1,339",956,150,233,0,,,,,
36001  Arbo,"2,225","1,231",657,337,0,,,,,
"43016  Arboç, L'","2,463","1,991",82,388,2,,,,,
04017  Arboleas,"2,439","2,052",218,168,1,,,,,
17009  Arbúcies,"3,240","2,503",260,476,1,,,,,
30009  Archena,"8,811","6,454",388,"1,962",6,,,,,
29017  Archidona,"4,210","3,234",344,628,3,,,,,
11006  Arcos de la Frontera,"15,189","10,827","1,615","2,743",4,,,,,
29018  Ardales,"1,409","1,082",206,121,0,,,,,
05014  Arenas de San Pedro,"6,046","2,609","2,497",937,3,,,,,
18020  Arenas del Rey,"1,154",767,238,149,0,,,,,
08006  Arenys de Mar,"8,484","5,995","1,128","1,352",9,,,,,
08007  Arenys de Munt,"4,341","3,192",242,898,9,,,,,
15004  Ares,"5,178","2,252","1,477","1,449",0,,,,,
20013  Aretxabaleta,"3,132","2,840",103,187,2,,,,,
05016  Arévalo,"4,809","2,994",412,"1,400",3,,,,,
13019  Argamasilla de Alba,"4,029","2,650",685,689,4,,,,,
13020  Argamasilla de Calatrava,"3,360","2,369",378,612,1,,,,,
28014  Arganda del Rey,"20,466","18,925",429,"1,104",7,,,,,
08009  Argentona,"5,415","4,102",549,760,4,,,,,
45016  Argés,"2,819","2,065",393,360,1,,,,,
