Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
29053  Frigiliana,"2,002","1,281",410,311,0,,,,,
27020  Friol,"2,294","1,433",607,254,0,,,,,
38013  Frontera,"2,499","1,539",662,295,3,,,,,
29054  Fuengirola,"47,540","28,416","13,403","5,718",3,,,,,
28058  Fuenlabrada,"70,841","66,655",674,"3,506",6,,,,,
26064  Fuenmayor,"1,785","1,263",345,175,2,,,,,
45066  Fuensalida,"6,134","3,690",701,"1,741",2,,,,,
23034  Fuensanta de Martos,"1,635","1,208",211,216,0,,,,,
30021  Fuente Álamo de Murcia,"9,364","5,438",959,"2,966",1,,,,,
06052  Fuente de Cantos,"2,427","1,769",310,346,2,,,,,
29055  Fuente de Piedra,"1,639","1,005",146,487,1,,,,,
06054  Fuente del Maestre,"3,295","2,480",146,668,1,,,,,
13044  Fuente el Fresno,"1,387","1,251",65,71,0,,,,,
28059  Fuente el Saz de Jarama,"2,861","2,198",479,181,3,,,,,
14029  Fuente Obejuna,"3,424","1,851","1,165",407,1,,,,,
14030  Fuente Palmera,"5,202","4,111",354,737,0,,,,,
18079  Fuente Vaqueros,"2,201","1,602",191,406,2,,,,,
02033  Fuente-Álamo,"1,459",981,297,181,0,,,,,
41042  Fuentes de Andalucía,"3,485","2,576",216,692,1,,,,,
50115  Fuentes de Ebro,"2,439","1,724",123,592,0,,,,,
06055  Fuentes de León,"1,647",996,269,382,0,,,,,
31107  Funes,"1,337",922,64,350,1,,,,,
31108  Fustiñana,"1,188",966,55,166,1,,,,,
"18905  Gabias, Las","10,278","6,868",776,"2,632",2,,,,,
04047  Gádor,"1,732","1,162",228,342,0,,,,,
28061  Galapagar,"15,198","11,187","2,076","1,924",11,,,,,
19126  Galápagos,"1,345",834,346,165,0,,,,,
48036  Galdakao,"12,866","11,463",504,894,5,,,,,
35009  Gáldar,"11,143","8,415","1,012","1,715",1,,,,,
"04048  Gallardos, Los","1,724","1,402",182,140,0,,,,,
50118  Gallur,"1,812","1,154",156,502,0,,,,,
45067  Gálvez,"1,868","1,211",276,380,1,,,,,
43064  Gandesa,"1,477","1,153",162,161,1,,,,,
46131  Gandia,"54,597","29,646","19,911","5,035",5,,,,,
38015  Garachico,"2,178","1,795",212,169,2,,,,,
"08088  Garriga, La","6,995","6,052",189,747,6,,,,,
"06058  Garrovilla, La","1,252",919,162,171,0,,,,,
10082  Garrovillas de Alconétar,"1,916",891,861,161,2,,,,,
04049  Garrucha,"6,064","3,046","1,806","1,211",1,,,,,
03071  Gata de Gorgos,"3,839","2,315",392,"1,132",0,,,,,
08089  Gavà,"21,433","17,675","2,028","1,725",5,,,,,
08091  Gelida,"3,909","2,825",393,687,3,,,,,
41044  Gelves,"4,029","3,206",205,618,0,,,,,
46132  Genovés,"1,514","1,004",390,120,0,,,,,
41045  Gerena,"3,240","2,517",290,432,1,,,,,
45069  Gerindote,"1,488",863,75,550,0,,,,,
48046  Gernika-Lumo,"7,753","6,922",252,574,6,,,,,
28065  Getafe,"69,002","62,509","1,663","4,812",17,,,,,
20039  Getaria,"1,312",997,231,77,7,,,,,
48044  Getxo,"33,074","30,197","1,083","1,782",11,,,,,
21035  Gibraleón,"4,887","4,717",58,107,5,,,,,
33024  Gijón,"147,212","122,519","8,079","16,551",63,,,,,
41046  Gilena,"1,906","1,343",100,463,0,,,,,
46134  Gilet,"2,528","1,301","1,019",208,0,,,,,
41047  Gines,"4,914","4,366",128,418,1,,,,,
"02035  Gineta, La","1,404",945,107,351,1,,,,,
17079  Girona,"47,486","38,245","2,474","6,727",40,,,,,
08092  Gironella,"2,846","2,110",208,527,1,,,,,
46135  Godella,"5,968","4,654",628,682,4,,,,,
46136  Godelleta,"3,161","1,259","1,492",409,1,,,,,
18084  Gójar,"2,390","1,839",277,274,0,,,,,
42095  Golmayo,"1,500",830,434,235,1,,,,,
36021  Gondomar,"6,286","4,561",866,856,3,,,,,
48043  Gorliz,"4,552","2,178","1,750",624,0,,,,,
33025  Gozón,"8,071","4,264","2,626","1,179",2,,,,,
33026  Grado,"6,824","4,302","1,886",634,2,,,,,
18087  Granada,"140,027","96,916","16,029","27,024",59,,,,,
"08094  Granada, La",965,816,55,94,0,,,,,
38017  Granadilla de Abona,"20,804","15,724","3,033","2,042",5,,,,,
03074  Granja de Rocamora,"1,068",924,23,121,0,,,,,
06059  Granja de Torrehermosa,"1,590",884,475,231,0,,,,,
08096  Granollers,"26,133","22,831",685,"2,609",9,,,,,
22117  Graus,"2,637","1,466",698,469,4,,,,,
11019  Grazalema,"1,439",896,356,187,0,,,,,
28066  Griñón,"3,884","3,185",371,323,5,,,,,
"36022  Grove, O","7,791","3,982","1,732","2,073",3,,,,,
18088  Guadahortuna,"1,185",782,213,190,0,,,,,
19130  Guadalajara,"40,223","32,538","2,263","5,398",23,,,,,
41048  Guadalcanal,"1,722","1,041",516,165,0,,,,,
28067  Guadalix de la Sierra,"3,534","2,101","1,137",295,1,,,,,
10087  Guadalupe,"1,855",853,639,363,0,,,,,
28068  Guadarrama,"9,554","5,967","2,621",951,15,,,,,
46139  Guadassuar,"3,236","2,279",356,600,1,,,,,
18089  Guadix,"9,816","7,039",877,"1,882",18,,,,,
18093  Gualchos,"3,667","1,679","1,531",456,1,,,,,
"38018  Guancha, La","2,196","1,802",172,221,1,,,,,
"36023  Guarda, A","6,307","3,911",608,"1,787",1,,,,,
03076  Guardamar del Segura,"22,268","6,578","10,219","5,467",4,,,,,
"23038  Guardia de Jaén, La","1,945","1,393",396,155,1,,,,,
"45071  Guardia, La","1,635",938,536,160,1,,,,,
34080  Guardo,"4,075","2,750",689,632,4,,,,,
06060  Guareña,"3,491","2,650",306,534,1,,,,,
29058  Guaro,"1,136",783,144,208,1,,,,,
23039  Guarromán,"1,290",988,124,178,0,,,,,
18094  Güejar Sierra,"1,780","1,069",218,490,3,,,,,
48045  Güeñes,"3,147","2,576",38,529,4,,,,,
18095  Güevéjar,"1,176",902,154,120,0,,,,,
38019  Guía de Isora,"14,450","6,973","6,257","1,219",1,,,,,
37156  Guijuelo,"3,130","2,229",370,530,1,,,,,
41049  Guillena,"5,543","4,319",509,715,0,,,,,
38020  Güímar,"10,434","6,939","1,869","1,624",2,,,,,
25110  Guissona,"2,518","2,216",62,239,1,,,,,
27022  Guitiriz,"3,565","2,041",839,684,1,,,,,
27023  Guntín,"1,611","1,079",425,106,1,,,,,
08100  Gurb,792,757,15,20,0,,,,,
39030  Guriezo,"1,064","1,011",27,26,0,,,,,
35010  Haría,"3,810","2,050","1,334",425,1,,,,,
26071  Haro,"8,429","4,697","1,845","1,884",3,,,,,
02037  Hellín,"14,396","10,969","1,551","1,864",12,,,,,
13047  Herencia,"4,285","3,085",372,826,2,,,,,
38021  Hermigua,"1,029",845,130,53,1,,,,,
20040  Hernani,"8,552","7,627",200,723,2,,,,,
41050  Herrera,"3,356","2,294",586,475,1,,,,,
34083  Herrera de Pisuerga,"1,783",971,589,221,2,,,,,
06063  Herrera del Duque,"2,376","1,415",365,595,1,,,,,
10096  Hervás,"3,045","1,625","1,131",288,1,,,,,
06066  Higuera de Vargas,"1,243",860,163,220,0,,,,,
06067  Higuera la Real,"1,521",973,172,375,1,,,,,
21040  Hinojos,"1,990","1,463",198,329,0,,,,,
14035  Hinojosa del Duque,"4,773","2,622",883,"1,265",3,,,,,
20036  Hondarribia,"8,268","6,315",951,992,11,,,,,
16106  Horcajo de Santiago,"2,430","1,426",376,627,1,,,,,
19143  Horche,"1,786",962,472,348,3,,,,,
06069  Hornachos,"2,381","1,419",502,458,2,,,,,
14036  Hornachuelos,"2,610","1,783",516,309,2,,,,,
"08101  Hospitalet de Llobregat, L'","112,105","102,031","1,429","8,605",39,,,,,
"08162  Hostalets de Pierola, Els","1,492","1,092",142,258,0,,,,,
17083  Hostalric,"2,175","1,612",101,462,0,,,,,
28072  Hoyo de Manzanares,"5,004","2,695","1,113","1,195",1,,,,,
"05102  Hoyo de Pinares, El","2,499",955,"1,054",489,1,,,,,
31122  Huarte/Uharte,"2,948","2,525",83,339,1,,,,,
23044  Huelma,"3,723","2,220",647,855,1,,,,,
21041  Huelva,"67,752","55,255","3,979","8,507",11,,,,,
04052  Huércal de Almería,"7,096","5,568",365,"1,162",1,,,,,
04053  Huércal-Overa,"9,297","6,633","1,395","1,267",2,,,,,
23045  Huesa,"1,270",970,182,118,0,,,,,
22125  Huesca,"28,310","20,786","2,615","4,883",26,,,,,
18098  Huéscar,"4,975","3,001","1,183",788,3,,,,,
18100  Huétor Tájar,"4,843","3,623",134,"1,084",1,,,,,
18101  Huétor Vega,"5,280","4,211",353,716,0,,,,,
41051  Huévar del Aljarafe,"1,020",933,48,38,1,,,,,
28073  Humanes de Madrid,"7,076","6,430",133,512,1,,,,,
29059  Humilladero,"1,640","1,284",144,212,0,,,,,
20042  Ibarra,"1,819","1,555",134,129,1,,,,,
03079  Ibi,"11,804","9,123",974,"1,705",3,,,,,
23046  Ibros,"1,686","1,117",272,297,0,,,,,
38022  Icod de los Vinos,"9,981","8,074",708,"1,198",1,,,,,
20043  Idiazabal,"1,066",935,52,78,1,,,,,
48094  Igorre,"1,931","1,689",84,158,0,,,,,
08102  Igualada,"20,049","15,688",546,"3,802",13,,,,,
"36901  Illa de Arousa, A","2,632","1,566",470,596,0,,,,,
45081  Illescas,"11,944","8,961","1,117","1,863",3,,,,,
18102  Illora,"5,207","4,300",397,503,8,,,,,
50126  Illueca,"1,617","1,218",117,281,1,,,,,
07027  Inca,"14,318","11,286",327,"2,700",5,,,,,
35011  Ingenio,"12,739","10,526",609,"1,603",1,,,,,
16113  Iniesta,"2,432","1,656",596,178,2,,,,,
"23047  Iruela, La","1,397",726,506,162,3,,,,,
20045  Irun,"26,840","24,196",640,"1,986",18,,,,,
01901  Iruña Oka/Iruña de Oca,"1,617","1,200",298,118,1,,,,,
31904  Irurtzun,961,883,34,44,0,,,,,
47075  Íscar,"3,291","2,463",207,620,1,,,,,
21042  Isla Cristina,"18,080","7,280","9,589","1,209",2,,,,,
41902  Isla Mayor,"2,629","2,285",20,324,0,,,,,
48910  Iurreta,"1,744","1,492",103,149,0,,,,,
14037  Iznájar,"2,995","1,800",421,773,1,,,,,
18105  Iznalloz,"3,799","2,620",544,632,3,,,,,
23049  Jabalquinto,"1,082",891,68,122,1,,,,,
21043  Jabugo,"1,335",905,160,270,0,,,,,
22130  Jaca,"16,094","5,295","8,498","2,282",19,,,,,
03080  Jacarilla,"1,251",722,135,394,0,,,,,
23050  Jaén,"54,642","43,258","4,123","7,247",13,,,,,
23051  Jamilena,"1,825","1,287",255,283,0,,,,,
10104  Jaraíz de la Vera,"4,060","2,524",802,731,3,,,,,
10105  Jarandilla de la Vera,"2,233","1,261",471,499,2,,,,,
03082  Jávea/Xàbia,"25,278","12,236","7,712","5,326",4,,,,,
11020  Jerez de la Frontera,"92,037","77,378","4,424","10,213",23,,,,,
06070  Jerez de los Caballeros,"5,089","3,719",545,824,1,,,,,
03083  Jijona/Xixona,"4,439","3,031",462,945,1,,,,,
11021  Jimena de la Frontera,"4,857","3,715",435,707,0,,,,,
23053  Jódar,"5,848","4,296",460,"1,092",0,,,,,
"17086  Jonquera, La","1,323","1,222",15,77,9,,,,,
30022  Jumilla,"12,121","9,000",342,"2,776",3,,,,,
18111  Jun,"1,475","1,211",25,239,0,,,,,
25119  Juneda,"1,734","1,226",63,442,3,,,,,
48022  Karrantza Harana/Valle de Carranza,"1,691","1,121",144,425,1,,,,,
18115  Láchar,"1,937","1,109",217,610,1,,,,,
47076  Laguna de Duero,"9,844","8,375",491,969,9,,,,,
36024  Lalín,"11,731","7,239","1,183","3,307",2,,,,,
"36025  Lama, A","1,528",978,197,352,1,,,,,
27026  Láncara,"1,535",926,483,125,1,,,,,
33031  Langreo,"24,973","18,940","2,096","3,927",10,,,,,
18116  Lanjarón,"2,520","1,400",542,575,3,,,,,
"41052  Lantejuela, La","1,728","1,447",36,245,0,,,,,
"15041  Laracha, A","6,104","4,316",794,994,0,,,,,
26084  Lardero,"5,849","3,510",558,"1,779",2,,,,,
39035  Laredo,"16,324","4,705","10,688",928,3,,,,,
31142  Larraga,"1,133",784,160,189,0,,,,,
20902  Lasarte-Oria,"7,175","7,110",0,62,3,,,,,
"40112  Lastrilla, La","1,895","1,118",508,265,4,,,,,
01036  Laudio/Llodio,"8,552","7,538",97,915,2,,,,,
33032  Laviana,"8,526","6,016","1,222","1,285",3,,,,,
15040  Laxe,"2,802","1,255","1,074",473,0,,,,,
20049  Lazkao,"2,308","2,036",135,135,2,,,,,
41053  Lebrija,"11,934","9,339",393,"2,199",3,,,,,
18119  Lecrín,"1,434",885,198,351,0,,,,,
28074  Leganés,"75,525","70,949",651,"3,914",11,,,,,
20051  Legazpi,"3,941","3,507",40,393,1,,,,,
48054  Leioa,"12,309","11,700",277,329,3,,,,,
31149  Leitza,"1,393","1,137",31,218,6,,,,,
48057  Lekeitio,"5,377","3,057","1,583",734,3,,,,,
48055  Lemoa,"1,836","1,397",68,371,0,,,,,
33033  Lena,"7,928","5,315","1,471","1,141",1,,,,,
24089  León,"78,776","57,490","5,889","15,346",51,,,,,
21044  Lepe,"19,267","8,612","9,200","1,454",1,,,,,
09194  Lerma,"2,168","1,112",600,452,4,,,,,
31153  Lesaka,"1,279","1,105",69,104,1,,,,,
48081  Lezama,"1,045",928,41,76,0,,,,,
20053  Lezo,"2,550","2,410",12,128,0,,,,,
30023  Librilla,"2,840","1,845",242,753,0,,,,,
39037  Liérganes,"1,233",887,125,219,2,,,,,
45084  Lillo,"1,907","1,110",330,466,1,,,,,
23055  Linares,"29,284","22,338","1,335","5,603",8,,,,,
"11022  Línea de la Concepción, La","28,738","23,704","1,819","3,199",15,,,,,
25122  Linyola,"1,359","1,052",40,267,0,,,,,
"08105  Llagosta, La","5,697","5,222",51,424,0,,,,,
17089  Llagostera,"4,454","3,104",845,503,2,,,,,
17092  Llançà,"8,926","2,063","6,594",267,2,,,,,
33035  Llanera,"6,846","5,403",460,976,6,,,,,
33036  Llanes,"12,902","5,687","4,915","2,288",12,,,,,
"38024  Llanos de Aridane, Los","10,110","7,922",720,"1,464",4,,,,,
25120  Lleida,"66,454","55,792","3,167","7,456",40,,,,,
06074  Llerena,"3,128","2,098",421,606,3,,,,,
08107  Lliçà d'Amunt,"6,597","4,935","1,311",350,1,,,,,
08108  Lliçà de Vall,"2,699","2,166",367,166,0,,,,,
08106  Llinars del Vallès,"4,355","3,374",308,670,3,,,,,
46147  Llíria,"12,071","8,880","2,017","1,172",2,,,,,
46156  Llombai,"1,413","1,038",242,133,0,,,,,
43074  Llorenç del Penedès,"1,111",830,162,118,1,,,,,
17095  Lloret de Mar,"23,536","15,541","4,200","3,789",5,,,,,
"46157  Llosa de Ranes, la","1,519","1,356",41,122,0,,,,,
07029  Lloseta,"2,819","2,257",136,426,0,,,,,
07030  Llubí,"1,472",845,197,430,0,,,,,
07031  Llucmajor,"19,971","13,964","2,836","3,169",2,,,,,
46150  Llutxent,"1,314",860,238,216,0,,,,,
32042  Lobios,"1,686",966,475,245,0,,,,,
06072  Lobón,"1,468","1,112",111,245,0,,,,,
31157  Lodosa,"2,529","1,915",45,565,4,,,,,
28075  Loeches,"3,565","2,827",280,456,2,,,,,
26089  Logroño,"77,682","61,904","4,106","11,640",33,,,,,
10109  Logrosán,"1,921",842,624,454,1,,,,,
48903  Loiu,"1,104",900,105,94,4,,,,,
18122  Loja,"10,878","7,980",792,"2,105",1,,,,,
45085  Lominchar,"1,296",826,169,301,0,,,,,
23056  Lopera,"2,038","1,440",171,426,1,,,,,
41055  Lora del Río,"9,010","6,688",726,"1,594",2,,,,,
30024  Lorca,"36,991","29,838","2,890","4,257",6,,,,,
30025  Lorquí,"3,318","2,425",200,693,0,,,,,
10110  Losar de la Vera,"2,161","1,154",784,220,4,,,,,
27027  Lourenzá,"1,471",934,219,318,0,,,,,
15042  Lousame,"1,479","1,098",122,259,0,,,,,
14038  Lucena,"19,904","15,039","1,150","3,709",5,,,,,
21046  Lucena del Puerto,"1,067","1,045",7,15,0,,,,,
27028  Lugo,"59,647","40,227","7,026","12,370",24,,,,,
"41056  Luisiana, La","2,093","1,756",169,168,0,,,,,
14039  Luque,"2,030","1,324",473,232,1,,,,,
04062  Macael,"2,995","2,157",321,517,0,,,,,
17103  Maçanet de la Selva,"3,865","2,660",737,467,1,,,,,
32043  Maceda,"2,930","1,281",875,773,1,,,,,
28079  Madrid,"1,531,490","1,320,531","57,325","153,101",533,,,,,
45087  Madridejos,"5,385","3,723",512,"1,148",2,,,,,
02045  Madrigueras,"2,435","1,817",183,434,1,,,,,
10113  Madroñera,"2,089","1,122",833,134,0,,,,,
50152  Maella,"1,265",754,439,72,0,,,,,
45088  Magán,"2,244","1,119",202,922,1,,,,,
41058  Mairena del Alcor,"9,774","7,304",296,"2,174",0,,,,,
41059  Mairena del Aljarafe,"18,725","14,628",761,"3,333",3,,,,,
28080  Majadahonda,"24,649","23,069",607,969,4,,,,,
29067  Málaga,"254,736","211,358","14,890","28,410",78,,,,,
13052  Malagón,"5,096","3,231","1,322",538,5,,,,,
08110  Malgrat de Mar,"10,190","6,969","2,106","1,109",6,,,,,
50160  Mallén,"1,815","1,272",123,419,1,,,,,
10115  Malpartida de Cáceres,"2,678","1,639",561,477,1,,,,,
10116  Malpartida de Plasencia,"2,543","1,836",240,465,2,,,,,
15043  Malpica de Bergantiños,"4,807","2,181","1,004","1,622",0,,,,,
45089  Malpica de Tajo,"1,370",803,316,250,1,,,,,
07033  Manacor,"23,769","15,154","4,950","3,662",3,,,,,
23058  Mancha Real,"5,595","4,071",446,"1,078",0,,,,,
29068  Manilva,"13,058","5,159","4,930","2,969",0,,,,,
46159  Manises,"14,533","11,704",762,"2,064",3,,,,,
08112  Manlleu,"8,772","7,353",314,"1,103",2,,,,,
08113  Manresa,"39,636","29,072","1,099","9,434",31,,,,,
46160  Manuel,"1,555",979,238,338,0,,,,,
13053  Manzanares,"9,728","7,268",856,"1,590",14,,,,,
28082  Manzanares el Real,"5,534","3,007","1,923",603,1,,,,,
21047  Manzanilla,"1,142",901,90,151,0,,,,,
07032  Maó,"13,620","11,051","1,390","1,172",7,,,,,
18127  Maracena,"9,390","8,049",272,"1,069",0,,,,,
29069  Marbella,"86,716","48,791","26,231","11,678",16,,,,,
19171  Marchamalo,"3,415","2,340",249,826,0,,,,,
41060  Marchena,"8,819","7,043",500,"1,272",4,,,,,
31163  Marcilla,"1,542","1,061",209,270,2,,,,,
50163  María de Huerva,"2,341","1,898",73,369,1,,,,,
07035  Maria de la Salut,"1,250",939,156,155,0,,,,,
36026  Marín,"12,126","8,823","1,288","2,014",1,,,,,
39040  Marina de Cudeyo,"2,805","2,063",438,304,0,,,,,
41061  Marinaleda,"1,226","1,026",50,150,0,,,,,
48060  Markina-Xemein,"2,307","1,954",59,291,3,,,,,
23059  Marmolejo,"3,408","2,635",271,501,1,,,,,
07036  Marratxí,"12,627","11,793",415,415,4,,,,,
41062  Martín de la Jara,"1,039","1,001",20,18,0,,,,,
08114  Martorell,"10,723","9,987",128,600,8,,,,,
08115  Martorelles,"2,183","1,854",63,265,1,,,,,
23060  Martos,"12,468","8,973","1,004","2,489",2,,,,,
32045  Maside,"2,255","1,152",355,746,2,,,,,
"08117  Masies de Voltregà, Les","1,330","1,138",42,150,0,,,,,
"08118  Masnou, El","10,371","8,837",908,621,5,,,,,
08119  Masquefa,"4,424","3,133",138,"1,153",0,,,,,
46163  Massalfassar,"1,226",991,36,199,0,,,,,
46164  Massamagrell,"8,051","5,834",564,"1,651",2,,,,,
46165  Massanassa,"4,421","3,582",102,736,1,,,,,
08120  Matadepera,"3,335","2,796",317,220,2,,,,,
"38025  Matanza de Acentejo, La","3,844","2,998",229,616,1,,,,,
08121  Mataró,"54,329","47,081","1,272","5,957",19,,,,,
15045  Mazaricos,"1,765","1,391",186,186,2,,,,,
30026  Mazarrón,"29,138","13,310","9,443","6,384",1,,,,,
39041  Mazcuerras,"1,068",829,91,148,0,,,,,
36027  Meaño,"2,243","1,724",152,367,0,,,,,
28083  Meco,"5,223","4,370",178,674,1,,,,,
06080  Medellín,"1,170",886,125,159,0,,,,,
09209  Medina de Pomar,"8,431","2,471","4,692","1,265",3,,,,,
47086  Medina de Rioseco,"2,763","1,865",440,456,2,,,,,
47085  Medina del Campo,"10,791","8,624","1,110","1,050",7,,,,,
11023  Medina-Sidonia,"5,686","4,055",767,860,4,,,,,
39042  Medio Cudeyo,"3,334","2,750",159,424,1,,,,,
08122  Mediona,"1,936",886,862,187,1,,,,,
36028  Meis,"2,143","1,702",272,168,1,,,,,
28084  Mejorada del Campo,"8,503","7,594",217,691,1,,,,,
46166  Meliana,"5,399","4,245",169,984,1,,,,,
15046  Melide,"5,951","2,845","1,572","1,533",1,,,,,
52001  Melilla,"26,246","24,666",200,"1,367",13,,,,,
13054  Membrilla,"3,173","2,128",481,564,0,,,,,
45098  Menasalbas,"1,872","1,159",527,185,1,,,,,
31165  Mendavia,"2,299","1,443",351,504,1,,,,,
23061  Mengíbar,"4,702","3,281",137,"1,284",0,,,,,
45099  Méntrida,"3,790","1,727","1,095",967,1,,,,,
50165  Mequinenza,"1,257",929,266,62,0,,,,,
"32047  Merca, A","2,013",902,753,357,1,,,,,
"07037  Mercadal, Es","5,482","2,209","3,080",192,1,,,,,
06083  Mérida,"28,992","21,508","2,366","5,111",7,,,,,
"16124  Mesas, Las","1,443","1,039",197,206,1,,,,,
15047  Mesía,"1,466",978,294,194,0,,,,,
10121  Miajadas,"5,249","3,864",730,653,2,,,,,
39044  Miengo,"4,125","2,101","1,789",235,0,,,,,
33037  Mieres,"23,659","18,333","1,924","3,393",9,,,,,
45101  Miguel Esteban,"2,656","1,813",180,663,0,,,,,
13056  Miguelturra,"7,577","5,204",639,"1,730",4,,,,,
29070  Mijas,"50,808","29,523","14,280","7,003",2,,,,,
31169  Milagro,"1,621","1,202",327,91,1,,,,,
21049  Minas de Riotinto,"2,277","1,663",354,260,0,,,,,
16125  Minglanilla,"1,401",941,302,157,1,,,,,
15048  Miño,"5,667","2,298","2,028","1,341",0,,,,,
28085  Miraflores de la Sierra,"4,817","2,280","1,475","1,061",1,,,,,
46168  Miramar,"4,712","1,112","3,030",568,2,,,,,
09219  Miranda de Ebro,"20,885","15,767",952,"4,160",6,,,,,
46169  Mislata,"21,170","17,499",828,"2,842",1,,,,,
36029  Moaña,"9,672","7,173",745,"1,754",0,,,,,
45102  Mocejón,"2,160","1,558",108,492,2,,,,,
18132  Moclín,"2,733","1,626",586,521,0,,,,,
35012  Mogán,"14,015","9,279","3,719","1,015",2,,,,,
46170  Mogente/Moixent,"2,822","1,809",591,421,1,,,,,
21050  Moguer,"8,071","7,764",199,105,3,,,,,
08138  Moià,"3,457","2,144",513,795,5,,,,,
04064  Mojácar,"8,538","3,164","4,396",976,2,,,,,
47090  Mojados,"1,859","1,213",396,248,2,,,,,
"04903  Mojonera, La","2,635","2,602",13,20,0,,,,,
"28086  Molar, El","3,493","2,991",177,323,1,,,,,
"41063  Molares, Los","1,363","1,278",21,64,0,,,,,
19190  Molina de Aragón,"2,834","1,380","1,118",333,3,,,,,
30027  Molina de Segura,"31,411","23,146","2,288","5,974",3,,,,,
"28087  Molinos, Los","2,877","1,642","1,049",180,6,,,,,
08123  Molins de Rei,"11,430","9,672",627,"1,129",2,,,,,
25137  Mollerussa,"6,582","5,352",41,"1,184",5,,,,,
08124  Mollet del Vallès,"22,444","19,307",306,"2,829",2,,,,,
29072  Mollina,"2,555","2,159",103,293,0,,,,,
18133  Molvízar,"1,392","1,142",134,116,0,,,,,
18134  Monachil,"7,416","2,730","2,894","1,792",0,,,,,
46171  Moncada,"10,995","8,112",795,"2,085",3,,,,,
12077  Moncofa,"11,900","2,607","6,651","2,641",1,,,,,
29073  Monda,"1,283",987,117,179,0,,,,,
36030  Mondariz,"2,678","1,839",535,304,0,,,,,
19192  Mondéjar,"1,639",949,356,332,2,,,,,
27030  Mondoñedo,"2,732","1,656",352,719,5,,,,,
06085  Monesterio,"2,422","1,628",440,353,1,,,,,
15050  Monfero,"1,111",709,229,170,2,,,,,
27031  Monforte de Lemos,"13,267","8,012","2,275","2,974",6,,,,,
03088  Monforte del Cid,"4,914","3,052",980,882,0,,,,,
08127  Monistrol de Montserrat,"1,622","1,278",90,253,1,,,,,
03089  Monóvar/Monòver,"6,768","4,751",781,"1,235",1,,,,,
44153  Monreal del Campo,"1,625","1,022",281,320,2,,,,,
14040  Montalbán de Córdoba,"2,067","1,692",139,236,0,,,,,
43086  Montblanc,"4,006","3,012",381,610,3,,,,,
43088  Montbrió del Camp,"1,378",966,95,317,0,,,,,
08125  Montcada i Reixac,"15,914","13,007",366,"2,537",4,,,,,
02051  Montealegre del Castillo,"1,236",853,196,186,1,,,,,
18135  Montefrío,"2,604","2,584",4,14,2,,,,,
10127  Montehermoso,"3,300","2,208",675,417,0,,,,,
18136  Montejícar,"1,732",957,363,412,0,,,,,
41064  Montellano,"3,725","2,739",664,321,1,,,,,
14041  Montemayor,"1,897","1,499",194,204,0,,,,,
32050  Monterrei,"2,404","1,241",670,493,0,,,,,
27032  Monterroso,"2,981","1,546",758,675,2,,,,,
06087  Monterrubio de la Serena,"1,933","1,098",529,305,1,,,,,
"03903  Montesinos, Los","3,287","2,032",850,405,0,,,,,
08126  Montgat,"4,734","4,351",92,288,2,,,,,
06088  Montijo,"8,193","6,210",570,"1,410",3,,,,,
14042  Montilla,"11,141","8,792","1,084","1,261",4,,,,,
08135  Montmeló,"3,600","3,252",87,253,8,,,,,
08136  Montornès del Vallès,"6,646","5,895",194,556,1,,,,,
14043  Montoro,"4,929","3,471",797,658,3,,,,,
43092  Mont-roig del Camp,"14,060","5,241","5,103","3,713",3,,,,,
46176  Montroy,"1,584","1,109",103,372,0,,,,,
46172  Montserrat,"6,973","2,643","3,698",631,1,,,,,
07038  Montuïri,"1,620","1,113",157,350,0,,,,,
22158  Monzón,"8,620","6,573",617,"1,422",8,,,,,
45106  Mora,"5,425","3,771",812,837,5,,,,,
43093  Móra d'Ebre,"3,214","2,051",253,907,3,,,,,
43094  Móra la Nova,"1,521","1,276",76,165,4,,,,,
13058  Moral de Calatrava,"3,437","2,070",850,516,1,,,,,
18138  Moraleda de Zafayona,"1,315","1,222",31,62,0,,,,,
10128  Moraleja,"4,564","2,974",908,678,4,,,,,
28089  Moraleja de Enmedio,"1,781","1,623",96,60,2,,,,,
49127  Morales del Vino,"1,611","1,056",290,263,2,,,,,
28090  Moralzarzal,"6,051","4,263","1,276",506,6,,,,,
36032  Moraña,"1,677","1,350",127,200,0,,,,,
28091  Morata de Tajuña,"3,397","2,673",333,388,3,,,,,
30028  Moratalla,"5,842","3,180","1,330","1,331",1,,,,,
33038  Morcín,"1,714","1,245",147,322,0,,,,,
"43095  Morell, El","1,466","1,377",29,59,1,,,,,
12080  Morella,"2,258",993,"1,049",215,1,,,,,
14045  Moriles,"1,976","1,446",216,314,0,,,,,
41065  Morón de la Frontera,"14,396","10,135",992,"3,262",7,,,,,
36033  Mos,"5,263","4,875",245,140,3,,,,,
28092  Móstoles,"79,599","74,951","1,649","2,992",6,,,,,
16133  Mota del Cuervo,"3,230","2,356",469,404,1,,,,,
16134  Motilla del Palancar,"3,347","2,343",522,480,2,,,,,
