,Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI
10,Cáceres,1004.264138,10.801445,0.087993,15.591491,0.017182,6.305038,78.210549,4.368,8,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.7148,0.0,11413,0.984475,64.411039,155914.909282,1.033562,1.254194,1.220952,0.339863,0.348555,1.084645,1.073838,0.543867,0.532931,9.008143
11,Cádiz,346.91323,4.314831,0.06941,1.354117,0.022331,6.344666,26.279749,4.66083,8,2.306052,0.847446,0.71318,1.248899,0.710609,0.815062,0.600593,0.0,4998,0.996097,256.191456,13541.170927,1.065735,1.242394,1.198581,0.295931,0.287829,1.076832,1.065849,0.507219,0.486576,10.370918
12,Cartagena,2538.032439,5.180597,0.061825,12.172446,0.015923,5.60611,56.254443,4.020624,8,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,0.0,41052,0.995204,208.506366,121724.457749,1.030318,1.24236,1.201139,0.352023,0.341692,1.083272,1.071986,0.527564,0.508556,12.057665
13,Córdoba,3892.869064,1.245034,0.11267,2.730728,0.027762,8.262326,35.02702,5.389476,8,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.50652,0.0,34551,0.999299,1425.579338,27307.277547,1.028187,1.284991,1.213202,0.287245,0.269167,1.078779,1.068802,0.523638,0.500479,8.638293
14,"Coruña, A",1141.314854,2.34648,0.078695,3.041818,0.01881,6.538037,35.02702,4.529875,8,0.700946,0.645963,0.787801,1.55023,0.793153,0.900344,0.745503,0.0,14503,0.997335,375.208183,30418.176007,1.068158,1.259186,1.210611,0.327174,0.322582,1.084438,1.074097,-369540.862454,0.539218,9.371166
15,Cuenca,478.304019,3.312846,0.074433,1.729964,0.013484,6.117953,36.723471,3.713148,8,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,0.0,6426,0.996383,276.482083,17299.638907,1.041051,1.257844,1.218278,0.41456,0.380563,1.085491,1.078784,0.542628,0.527547,8.71695
16,Getafe,1333.511318,3.280688,0.090377,4.404839,0.018878,6.498853,48.168808,4.376008,8,0.59992,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,0.0,14755,0.996697,302.737816,44048.389369,1.023921,1.277073,1.242009,0.319235,0.328134,1.089673,1.081304,0.575847,0.559715,6.651213
17,Gijón,2071.146768,3.37409,0.141714,7.742569,0.036526,8.640796,59.908947,5.967553,8,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,0.0,14615,0.996262,267.501224,77425.693226,1.061926,1.235201,1.187461,0.240152,0.225954,1.068407,1.059691,0.529323,0.50022,8.487592
18,Girona,679.734461,1.979426,0.072266,1.115294,0.026972,6.89068,23.841674,5.343331,8,1.17693,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,0.0,9406,0.998359,609.466839,11152.935948,1.031952,1.235201,1.221572,0.293199,0.270808,1.084289,1.071519,0.562663,0.543797,13.083362
19,Granada,1395.765302,4.125408,0.072981,4.751803,0.015907,5.810415,43.193601,3.975179,8,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.72579,0.0,19125,0.996596,293.733857,47518.025847,1.037741,1.244693,1.203264,0.36677,0.342883,1.083137,1.07286,0.512325,0.493546,10.861967
20,Guadalajara,788.017019,3.07834,0.104845,3.024986,0.019503,7.150348,43.903155,4.658112,8,1.015207,0.677647,0.775695,1.494749,0.7899,0.886509,0.718822,0.0,7516,0.996161,260.502719,30249.857761,1.025042,1.281085,1.250415,0.314805,0.324792,1.089258,1.083527,0.567957,0.565557,13.057642
21,Huelva,723.771461,6.668003,0.072836,8.179238,0.018571,5.920937,61.218199,4.433064,8,1.105321,0.672091,0.777305,1.50195,0.784593,0.888348,0.722285,0.0,9937,0.988699,88.488862,81792.380158,1.035522,1.264199,1.227771,0.355944,0.318338,1.090463,1.078018,0.532601,0.516791,9.983486
22,Huesca,388.279842,2.759404,0.100931,1.452965,0.036755,8.069576,30.759632,6.25183,8,2.06037,0.82612,0.72376,1.286486,0.727665,0.827154,0.618669,0.0,3847,0.996258,267.232724,14529.651729,1.045864,1.280859,1.231216,0.277026,0.231976,1.084043,1.073433,0.552099,0.534035,11.90866
23,Jaén,742.615915,2.867485,0.057688,2.734006,0.013795,5.840019,36.917021,4.181158,8,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,0.0,12873,0.996318,271.621896,27340.060775,1.039976,1.250475,1.220862,0.375607,0.37575,1.087279,1.079303,0.536592,0.526757,7.97694
24,León,940.397089,4.102869,0.093955,5.121285,0.0226,6.788706,64.186164,4.76932,8,0.850704,0.687343,0.768489,1.46313,0.770071,0.878274,0.703617,0.0,10009,0.994554,183.625222,51212.84974,1.070044,1.239692,1.19268,0.296222,0.289311,1.075591,1.066118,0.518728,0.497454,11.487682
25,Logroño,852.032302,2.157928,0.158311,2.262931,0.043755,9.731187,44.4711,6.557399,8,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,0.0,5382,0.997344,376.517135,22629.310149,1.030207,1.251819,1.203456,0.234857,0.206249,1.072616,1.060387,0.531431,0.508794,9.947848
26,Lugo,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,8,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,0.0,9660,0.997613,419.017367,15348.227473,1.091946,1.336751,1.286445,0.31638,0.331624,1.101408,1.092393,0.571794,0.621237,10.901138
27,Madrid,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,8,0.058042,0.663808,0.782504,1.525577,0.806105,0.894291,0.733647,0.0,123098,0.998446,643.361666,214237.156863,1.038102,1.25444,1.205531,0.301839,0.274237,inf,1.06819,0.350863,0.504962,10.248382
28,Málaga,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,8,0.231482,0.676318,0.776218,1.497082,0.791311,0.887106,0.719944,0.0,46248,0.999177,1215.723799,28427.487385,1.045858,1.236386,1.195609,0.33595,0.313932,1.077701,1.068645,0.521593,0.501037,10.104268
29,Marbella,3168.727803,2.135795,0.178239,5.418642,0.063617,10.20654,49.245705,8.446928,8,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,0.0,17778,0.99829,584.782661,54186.418585,1.054742,1.250681,1.185366,0.247345,0.169418,1.070926,1.056655,0.211107,0.497154,10.688337
30,Mataró,594.463594,5.236858,0.051442,2.462405,0.015254,5.555791,29.73569,4.219238,8,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,0.0,11556,0.995858,241.415842,24624.050731,1.015978,1.350681,1.312535,0.369457,0.403057,1.114026,1.104583,0.631793,0.645094,16.693761
31,Melilla,401.005097,6.104528,0.041811,3.416999,0.00939,4.313018,40.89123,3.119782,8,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,0.0,9591,0.991479,117.35592,34169.993073,1.070934,1.19913,1.157815,0.444843,0.437038,1.076771,1.067197,0.480239,0.446324,9.21604
32,Móstoles,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,8,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,0.0,8032,0.994785,191.749053,46017.160609,1.017083,1.297285,1.263912,0.283876,0.264516,1.09021,1.080007,0.57319,0.570475,7.604313
33,Murcia,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,8,0.188628,0.735037,0.75396,1.402262,0.751272,0.861669,0.674345,0.0,57688,0.998245,569.772079,74436.040974,1.047906,1.268026,1.221349,0.317831,0.307044,1.086123,1.074292,-153655.995385,0.531412,11.48254
34,Ourense,1072.807433,1.343457,0.06342,1.306178,0.023652,6.570052,25.322967,5.014611,8,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,0.0,16916,0.998782,821.333532,13061.775646,1.096012,1.280935,1.224703,0.326494,0.291726,1.087607,1.077016,0.56419,0.543765,6.478429
