,ciudades,ciudades,COM,ED_SING,EQUIP_EDU,EQUIP_OTR,EQUIP_SANI,HOS_REST,IND,IND_MX,OCIO_ESP,OFI,RES_PLU,RES_PLU_MX,RES_UNI,RES_UNI_MX,SIN_EDIF
20,Cuenca,Cuenca,0.15020610082092978,0.08559636645393276,0.12890478746972403,0.13574086126669302,0.10693477620750866,0.03645493781603851,0.4324781211185713,0.15938236649372697,0.07914327103488387,0.1006707404003639,0.37690560274595036,0.18755403235354406,0.2076935790536853,0.06462391192977071,0.8390929147340846
21,Elche,Elche,0.3527204611387094,0.016831718645327908,0.16032505747538525,0.16144314053246497,0.0420050204253111,0.13117727149828132,0.38488119342416266,0.2226862122658603,0.049823787690127574,0.010719696900583567,0.22448416457157808,0.2800059425503223,0.7730328671014389,0.1832442799953994,0.39168302282119966
22,Fuenlabrada,Fuenlabrada,0.33937410991897654,0.049718791792249833,0.3393192272363096,0.3637496710632221,0.0999758290416784,0.2006183165001473,0.9651950760799933,0.8040784209364727,0.02571194521554175,0.021390716870155393,0.3687991822728035,0.1028990229033232,0.09970264580241718,0.005064725009767077,0.3447410992370373
23,Getafe.shp,Getafe.shp,0.18453836482893665,0.09705337036981936,0.1131695612500434,0.34167147498818506,0.07669939132021755,0.04195802185737183,0.48145712718371525,0.9657152477692328,0.040929186565870294,0.027181704376108565,0.33250409861307234,0.06326801884392033,0.26802069979464377,0.008779600746269517,0.5098460554019233
24,Gijon,Gijon,0.058508437654615886,0.022542836203480226,0.13276415362042276,0.24819020374370296,0.089355385682378,0.057899458377702655,0.837115758344601,0.3287765958614168,0.05659007036800925,0.055229809230087995,0.2798091045311575,0.2634150021874666,0.39139482378208945,0.05217334912043164,0.5267361614485029
25,Girona,Girona,0.33375899616420773,0.044283311598520225,0.2290975319144018,0.7779288235988961,0.12577420171270978,0.10586875126603722,0.3590673179873467,0.1707398584277715,0.21014815331844616,0.08836955337503852,0.03970587501334457,0.8950332321860257,0.14468185389991156,0.7279654522346815,0.223906376346794
26,Granada,Granada,0.1523696919869839,0.09181757649526992,0.27112542648090115,0.7921337866379526,0.21290844660863467,0.20198319906935433,0.25145595281210786,0.16752022540657918,0.08086662381629126,0.14785276026664168,0.5059496047535532,0.5706392770941184,0.32438860601542985,0.05357350290007696,0.3097039623894326
27,Guadalajara,Guadalajara,0.15281850923790352,0.0442284409919639,0.09056376090352658,0.2916552380278957,0.11509428055474447,0.11541220275637573,0.44762303634985134,0.3659199061392361,0.5827922547776005,0.06327200951695769,0.24727439957888567,0.1777384782700162,0.25687305167848296,0.05733756618035765,0.8009284253988516
28,Hospitalet,Hospitalet,0.16735143781247863,0.032632491957999527,0.17856354848701644,0.8629508795136454,0.06524329814958374,0.04892244652431394,0.6536412929149589,0.973741934670167,0.07175128340716995,0.15491194521765844,0.5217311206784763,0.8850989490080178,0.05857228658576637,0.025808387171556136,0.09866713395120352
29,Huelva,Huelva,0.1546886148958198,0.07196737337800145,0.2194821368434162,0.4576144562480422,0.19094720957549483,0.05452568381835434,0.1279202682325411,0.36033554480472746,0.12489697769321934,0.0371159041793874,0.2481555467048839,0.24785140094636743,0.09894724416029288,0.03282120072592042,0.9128719833256682
30,Huesca,Huesca,0.1712450377689244,0.07894378880159919,0.09374145991386307,0.2564742961572707,0.13061731458781084,0.014973072771541423,1.0,0.16973875415274914,0.056054340848879315,0.09562753217519514,0.31394253686225104,0.2607312103577785,0.10239579917163778,0.02108398759013753,0.6833329002720137
31,Jaen,Jaen,0.14813470287184632,0.09120608289302093,0.14979947398911467,0.5708061031840755,0.1782349367906525,0.0681410429143769,0.41360875463362856,0.2301451899962393,0.011674469210023153,0.06891743372378205,0.36754589647682634,0.2296150410471532,0.3623179495519675,0.033296486240664405,0.5466080487414202
32,Jerez,Jerez,0.128938871662651,0.1669323498367398,0.06703216214731496,0.4033089437492404,0.04960883780620004,0.10470185748287508,0.26986589921963994,0.5339974759662408,0.11106057734582052,0.08167403621316889,0.17202585306753101,0.18465345565509828,0.5524813360625886,0.212706883665329,0.35807951088864315
33,Las,Las,0.29574855067357714,0.06533153040610436,0.1387612376144661,0.29254795030544867,0.14153462834165878,0.05307026921894704,0.1301283266818356,0.11823354211736566,0.0661749235972897,0.12831372503393979,0.5243269153803055,0.3112546323203885,0.41367819523219035,0.062061073636936796,0.6614037481253643
34,Leganes.shp,Leganes.shp,0.041043172323382435,0.18750457876873008,0.10121371196796386,0.32986442969374796,0.11998510529668677,0.05023076548144271,0.20464979574671727,0.48927762651965273,0.02697002229312353,0.05135820314984628,0.278998014519427,0.04754732261217942,0.08062515451870383,0.0,0.9007338743318531
35,Leon,Leon,0.32983892997982056,0.03678567678524572,0.3067022238672136,0.42683523596459205,0.1756225293249827,0.07454270259933392,0.3605372374800481,0.6085578907050768,0.06843662796542635,0.19358903264498933,0.4356544920718965,0.44364706121289543,0.1904399708937768,0.0387093338788386,0.44455428381813805
36,Lleida,Lleida,0.059122149705013616,0.08292656887119117,0.1875012535459526,0.3894456318392461,0.01579448953723573,0.011422067707684122,0.5613924712715533,0.556528070378556,0.07239814019803639,0.08535801601094355,0.22197967552287032,0.5231096136847089,0.19173736136463998,0.07693762379299852,0.5157645099942307
37,Logronio,Logronio,0.17831544862708892,0.15552446022330538,0.10535640761281598,0.5060289190708054,0.15147518691565862,0.02519514261366476,0.617468947141325,0.7409756254274518,0.030523067576643782,0.017445806837329905,0.3155303944980333,0.9999999999999999,0.0,0.11121235243262245,0.22704233654917594
38,Lugo,Lugo,0.259030774051887,0.08766210251085721,0.07289855697189901,0.3750286038169294,0.09827614946666262,0.06103001495917002,0.19895999013299787,0.33228106412791686,0.10821932285321507,0.08509958759681678,0.5191185494394348,0.40587685640847815,0.2220661768364145,0.033828102973600754,0.6973339801951457
39,Madrid,Madrid,0.09159530325991243,0.08335913967442753,0.20184321686130752,0.4175084376924073,0.16965211890095122,0.11258092310574072,0.020094115269330637,0.16623305854704984,0.1179866548945876,0.5215276176913298,0.9644361963569131,0.6794342989201599,0.216049108382036,0.02072002117843383,0.41541641368448884
40,Malaga,Malaga,0.9999999999999999,0.0,0.06834642583848421,0.9999999999999999,0.17447013270154804,0.004843333024402029,0.05514157486755028,0.16668871360896206,0.6274776420552024,1.0,0.3968712940941044,0.23713843070601653,0.6699488737266438,0.04810569230120712,0.33520527457763066
41,Marbella,Marbella,0.05376289202048452,0.007778747197892531,0.0,0.8181328395603948,0.01323445569272038,0.3723673419380223,0.025760342171820966,0.0,0.07342701016385934,0.01170549778133986,0.3744836823524361,0.16017478106751445,0.7236307734242968,0.08299831261123641,0.663567622678257
42,Mataro,Mataro,0.1411224241477167,0.04567844565166795,0.09242410078595965,0.5787060893876174,0.11561929708545565,1.0,0.32049206563645705,0.2768784319252142,0.36443448867254985,0.06624447852923258,0.42625134618465443,0.49145881050498796,0.42094233921180096,0.06713051385383363,0.39726070004669173
43,Melilla,Melilla,0.13218631947378734,0.3225858771097065,0.10156768780292398,0.4012767758979934,0.0547253899603385,0.050463682349728346,0.2350833891590497,0.14309586716124023,0.10059260014499141,0.021274629443979193,0.3195967973116623,0.25999224063062076,0.3737305249157748,0.04481025267413848,0.4481613226376315
