,ciudades,COM,COM_iqr,ED_SING,ED_SING_iqr,EQUIP_EDU,EQUIP_EDU_iqr,EQUIP_OTR,EQUIP_OTR_iqr,EQUIP_SANI,EQUIP_SANI_iqr,HOS_REST,HOS_REST_iqr,IND,IND_MX,IND_MX_iqr,IND_iqr,OCIO_ESP,OCIO_ESP_iqr,OFI,OFI_iqr,RES_PLU,RES_PLU_MX,RES_PLU_MX_iqr,RES_PLU_iqr,RES_UNI,RES_UNI_MX,RES_UNI_MX_iqr,RES_UNI_iqr,SIN_EDIF,SIN_EDIF_iqr
11,Burgos,0.4730109676819888,tipico,4.936000633214147,tipico,3.0256692626152435,tipico,3.0270217254397225,tipico,2.5559585795354822,tipico,0.1169278101458801,tipico,14.316816997670184,16.946118294038495,atipico,tipico,0.0668281821591914,tipico,0.0816777421786008,tipico,4.988223593421456,3.882077630677848,tipico,tipico,4.832669720318948,0.5132888936303475,tipico,tipico,40.23770996727247,tipico
12,Caceres,0.2773547907305701,tipico,3.581263733396704,tipico,5.6717240162529565,tipico,6.046371300773567,tipico,1.1855854319045018,tipico,0.8713932166895396,tipico,8.048176436263915,9.481664515168712,tipico,tipico,0.0244121027337042,tipico,0.2582878008318165,tipico,6.177939886738266,4.065609766468143,tipico,tipico,16.7623246957115,1.3757150995115737,tipico,tipico,36.172177206824536,tipico
13,Cadiz,0.7417487049756982,tipico,7.077994215987443,tipico,7.172608983823492,tipico,4.462860841466291,tipico,0.7011060605379139,tipico,0.8775785488613312,tipico,9.097083174722076,7.022304797753779,tipico,tipico,0.2600883916184563,tipico,0.9084080799539764,tipico,19.48134016053436,11.760484800509628,tipico,atipico,0.7903440600202722,0.5681383747112798,tipico,tipico,29.07791080452401,tipico
14,Cartagena,0.7655042886608042,tipico,2.2966567504249524,tipico,1.7533778722829068,tipico,4.881026887644667,tipico,0.8194034008362399,tipico,0.4571105964889893,tipico,4.71467797264025,6.173320897332448,tipico,tipico,0.1726263876832286,tipico,0.0721683253939268,tipico,4.321026581787453,4.000791199994606,tipico,tipico,18.846019227236948,2.8954626904351706,tipico,tipico,47.83082692115741,tipico
15,Castello,0.8018250333883653,tipico,6.649413545681021,tipico,2.740560245320548,tipico,4.35863336551892,tipico,0.912737954010373,tipico,0.3585078134306259,tipico,6.28694363766079,6.723304036988469,tipico,tipico,0.0992633334130897,tipico,0.0862964783925627,tipico,8.248864821308247,5.054593289703982,tipico,tipico,11.289345335907152,1.2207316342122236,tipico,tipico,45.16897947506363,tipico
16,Ceuta,0.5320409765743023,tipico,12.086236764121516,atipico,2.714485944494801,tipico,2.4451930094303607,tipico,2.138171706494422,tipico,1.0778816361195016,atipico,5.485088291133487,5.864501657433692,tipico,tipico,0.1612329332810434,tipico,0.3618218005556233,tipico,6.7804924080100495,4.350155268076589,tipico,tipico,14.424581789093402,2.1207879151483984,tipico,tipico,39.457327900032816,tipico
17,Ciudad,0.3986147933428899,tipico,2.123328033019597,tipico,5.444975475830097,tipico,10.721558926746097,tipico,3.947548719273349,atipico,0.3371553042925341,tipico,3.888283006603154,3.4666954370126297,tipico,tipico,0.1332353521551096,tipico,0.9010908356172984,tipico,8.453149149118518,8.433978918596496,tipico,tipico,15.991639799468588,0.5480278400347764,tipico,tipico,35.210718408888866,tipico
18,Cordoba,0.4192064890511405,tipico,2.787730855504856,tipico,3.7894501563535874,tipico,2.6723332250128764,tipico,0.4833375721316668,tipico,0.7240720843802928,tipico,8.851239036701672,6.556316880080089,tipico,tipico,0.0406478242797262,tipico,0.2307419303432304,tipico,5.101956728861255,4.238257126217983,tipico,tipico,36.25095985277267,4.746158396427432,atipico,atipico,23.10759184188153,tipico
19,Corunia,0.6073016306465183,tipico,3.928642147755404,tipico,3.570282256857999,tipico,8.801929198914529,tipico,1.5388698676126664,tipico,0.1313640755327861,tipico,7.753273481245528,5.178778607697045,tipico,tipico,0.3787586735674974,atipico,0.4724603158150255,tipico,6.986871557928816,7.949045628017501,tipico,tipico,9.5937900284623,1.3849624565383385,tipico,tipico,41.72367007340805,tipico
20,Cuenca,0.7776035107274636,tipico,5.257076884272714,tipico,4.136680358596229,tipico,2.6376285947815807,tipico,1.2000301632717096,tipico,0.1938185228491117,tipico,10.948715070627994,3.022383661214453,tipico,tipico,0.1022452568688617,tipico,0.469426750488203,tipico,8.584668650392945,4.389438607774324,tipico,tipico,8.412865848849071,1.6889915326149043,tipico,tipico,48.17842658667043,tipico
