variable,ciudades,COM,ED_SING,EQUIP_EDU,EQUIP_OTR,EQUIP_SANI,HOS_REST,IND,IND_MX,OCIO_ESP,OFI,RES_PLU,RES_PLU_MX,RES_UNI,RES_UNI_MX,SIN_EDIF
Gijon_class.shp,Gijon,0.3904054569552938,1.4723475986349384,4.241832786128382,3.9685420045659217,1.0333336972400524,0.2765532844084483,19.175824062809667,5.828178119997766,0.0758508178645289,0.2889261128544352,6.577123462948996,5.622751194919355,15.217091717625475,1.3708619257215755,34.46037775732517
Girona_class.shp,Girona,1.5526649614457937,2.7772993370144854,6.866535440514039,10.2383539689184,1.3786749035028476,0.4616228455522465,9.456123618422556,3.210505700868164,0.2555627582637738,0.4205639291388054,1.61280351557113,15.891308465316293,6.078934954905364,18.63831235327092,21.160733247295184
Granada_class.shp,Granada,0.7867393846388349,5.630499208796464,8.011628952030868,10.406479236507549,2.2049248621532023,0.8324404583101812,7.268164939730465,3.157176679425712,0.1042621293537775,0.6568433471860062,11.252753184459095,10.617461467519188,12.73520630105772,1.406637848330846,24.92878200050009
Guadalajara_class.shp,Guadalajara,0.7886345383434636,2.7740057800838973,3.0920393838650524,4.482979845742229,1.277402614683477,0.49844228300415,11.256642106628089,6.443408606581584,0.6916752263594637,0.3208713710693019,5.904443278259376,4.229861865906671,10.234455247119971,1.50281502441634,46.502322827936936
Hospitalet_de_Llobregat_class.shp,Hospitalet,0.8500005695527805,2.077969765458165,5.489684729083844,11.24464704144133,0.804690970712256,0.2419192186539926,15.445413726490036,16.511187691763396,0.0935942733813142,0.6848838681880649,11.579048230399511,15.729801480703218,2.8894685670521087,0.6971996094878112,15.660490257632176
Huelva_class.shp,Huelva,0.7965311547466559,4.439009299105879,6.604554044109923,6.447218534391536,1.996677562687696,0.2635369787782991,4.756432347509572,6.35091094508098,0.1557916885906047,0.2169739911112149,5.922661676499801,5.369725358919954,4.384941998304616,0.8763869806476652,51.41864743951561
Huesca_class.shp,Huesca,0.8664414937077272,4.857762121629658,3.178619084224114,4.0665897960269,1.424599692517441,0.1109396831382559,22.48759312708796,3.1939237143506363,0.0752238434352957,0.4493940998158005,7.282858572526724,5.579119347711528,4.512675194956513,0.5764844735811565,41.337775755290295
Jaen_class.shp,Jaen,0.7688569273710472,5.593794876220331,4.705977731336956,7.786917615455893,1.8761335116619065,0.3160661777927981,10.565062339386072,4.194477532489393,0.0232852369246733,0.343296146328121,8.391149485212525,5.073247047916994,14.14009509676827,0.8885312022610191,35.333109072873995
Jerez_de_la_Frontera_class.shp,Jerez,0.6878015522601364,10.139193350429627,2.4508966064480253,5.804476360735491,0.6564372935538563,0.4571208713235674,7.64247672316544,9.227394317468653,0.1395986865239248,0.3939679706960382,4.348621387784574,4.342282372360984,21.18367629679063,5.472722301033861,27.05333390942519
Las_Palmas_Gran_Canaria_class.shp,Las,1.392163919120519,4.040699020032293,4.405229550121274,4.493545694462219,1.528123055214438,0.2579218670062411,4.801326682223438,2.3408070582120364,0.0870681536060276,0.5792303179759375,11.632718293244846,6.400505791735911,16.04245951896235,1.6235073652631389,40.37469371281933
Leganes.shp,Leganes.shp,0.3166574844186018,11.374022185555628,3.382208329696084,4.935211263418147,1.3237798311914373,0.246966823082842,6.316500239624878,8.486668342072505,0.0411859131458712,0.2735473046268537,6.560353549722761,2.113274227239704,3.706298603733953,0.0377585712658759,50.88556733120486
Leon_class.shp,Leon,1.5361122822951825,2.3272608072429715,8.980955640122644,6.082925812748232,1.8513613734163097,0.3407643185647471,9.48601008167667,10.46239033415536,0.0897150691756787,0.838517140276838,9.799347369012397,8.552880713296934,7.773798611471616,1.0268371662303095,30.851123280314116
Lleida_class.shp,Lleida,0.3929968873504123,5.096824776928503,5.733201759294463,5.640394763470423,0.335792937337864,0.0972396073352354,13.569806911307191,9.600584225951014,0.0943513021668621,0.4086014890990064,5.381455297435987,9.844746166437195,7.821853472595734,2.0036244029866754,33.97852600030343
Logronio_class.shp,Logronio,0.8962966637210085,9.454445426946336,3.4950803627122338,7.020236182862845,1.622384342731637,0.1503772871918916,14.709956112554998,12.655717389720012,0.0453441095101349,0.1388403564976243,7.3156887570716815,17.597809664290097,0.7199728286346435,2.8793925200970283,21.29845799545783
Lugo_class.shp,Lugo,1.2371212369425235,5.381070762489926,2.610732608677404,5.469759564531302,1.1179247867330362,0.2886312346508395,6.200814879139619,5.8862250657516535,0.1362735124385007,0.4075749587808276,11.52503129967365,7.938830179718027,8.945221532009247,0.9021147667035918,41.95267361175985
Madrid_class.shp,Madrid,0.5301164324090116,5.122789435538696,6.123963402346553,5.972536897905605,1.7947469921030406,0.4875189682986749,2.564106594726335,3.135856439323803,0.1477044065988903,2.1411560207120126,20.73231802360254,12.386200650929617,8.72235155150361,0.567184613546651,29.57144957045496
Malaga_class.shp,Malaga,4.365901538266243,0.1192349018238859,2.4867050817643137,12.866715327805306,1.8404337792930232,0.0718582963463343,3.276692976928273,3.1434037710871228,0.7439713836235623,4.041745816577732,8.99747475892335,5.195558839930545,25.53463025846319,1.2669275024595033,26.048745766707626
Marbella_class.shp,Marbella,0.3703671487784536,0.5861469400316968,0.6245359302932286,10.714195470448583,0.3115174316431651,1.48979679291304,2.679312551890374,0.3824226518864232,0.0955554082251295,0.1160386792842213,8.534593573332844,3.9443193941445576,27.522987883082774,2.158483631503042,40.46972651254247
Mataro_clas.shp,Mataro,0.739247223254962,2.86104095603828,3.142726270528372,7.880419252226734,1.2823810808113352,3.911256305719266,8.671810009665485,4.968552728171994,0.4361269862798523,0.3326786236551203,9.604930056134576,9.330182036288882,16.311520713695455,1.7530387806752132,28.77408897685448
