,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
1068,2806504039 Getafe sección 04039,16524,2806504039, Getafe sección 
1105,28073 Humanes de Madrid,10298,28073, Humanes de Madrid
1106,2807301 Humanes de Madrid distrito 01,10298,2807301, Humanes de Madrid distrito 
1107,2807301001 Humanes de Madrid sección 01001,12147,2807301001, Humanes de Madrid sección 
1108,2807301002 Humanes de Madrid sección 01002,8210,2807301002, Humanes de Madrid sección 
1109,2807301003 Humanes de Madrid sección 01003,8518,2807301003, Humanes de Madrid sección 
1110,2807301004 Humanes de Madrid sección 01004,9962,2807301004, Humanes de Madrid sección 
1111,2807301005 Humanes de Madrid sección 01005,9332,2807301005, Humanes de Madrid sección 
1112,2807301006 Humanes de Madrid sección 01006,11088,2807301006, Humanes de Madrid sección 
1113,2807301007 Humanes de Madrid sección 01007,10830,2807301007, Humanes de Madrid sección 
1114,2807301008 Humanes de Madrid sección 01008,11192,2807301008, Humanes de Madrid sección 
1115,28074 Leganés,12584,28074, Leganés
1116,2807401 Leganés distrito 01,11875,2807401, Leganés distrito 
1117,2807401001 Leganés sección 01001,12431,2807401001, Leganés sección 
1118,2807401002 Leganés sección 01002,11876,2807401002, Leganés sección 
1119,2807401003 Leganés sección 01003,9955,2807401003, Leganés sección 
1120,2807401004 Leganés sección 01004,15014,2807401004, Leganés sección 
1121,2807401005 Leganés sección 01005,12804,2807401005, Leganés sección 
1122,2807401006 Leganés sección 01006,11827,2807401006, Leganés sección 
1123,2807401007 Leganés sección 01007,10651,2807401007, Leganés sección 
1124,2807401008 Leganés sección 01008,10577,2807401008, Leganés sección 
1125,2807401009 Leganés sección 01009,10783,2807401009, Leganés sección 
1126,2807401010 Leganés sección 01010,12802,2807401010, Leganés sección 
1127,2807401011 Leganés sección 01011,11790,2807401011, Leganés sección 
1128,2807401012 Leganés sección 01012,11854,2807401012, Leganés sección 
1129,2807401013 Leganés sección 01013,12384,2807401013, Leganés sección 
1130,2807401014 Leganés sección 01014,10758,2807401014, Leganés sección 
1131,2807401015 Leganés sección 01015,11444,2807401015, Leganés sección 
1132,2807401016 Leganés sección 01016,11099,2807401016, Leganés sección 
1133,2807401017 Leganés sección 01017,10606,2807401017, Leganés sección 
1134,2807401018 Leganés sección 01018,12378,2807401018, Leganés sección 
1135,2807401019 Leganés sección 01019,10643,2807401019, Leganés sección 
1136,2807401020 Leganés sección 01020,15284,2807401020, Leganés sección 
1137,2807401021 Leganés sección 01021,9635,2807401021, Leganés sección 
1138,2807401022 Leganés sección 01022,9274,2807401022, Leganés sección 
1139,2807401023 Leganés sección 01023,9366,2807401023, Leganés sección 
1140,2807401024 Leganés sección 01024,13303,2807401024, Leganés sección 
1141,2807401025 Leganés sección 01025,13353,2807401025, Leganés sección 
1142,2807401026 Leganés sección 01026,14855,2807401026, Leganés sección 
1143,2807402 Leganés distrito 02,10870,2807402, Leganés distrito 
1144,2807402001 Leganés sección 02001,9870,2807402001, Leganés sección 
1145,2807402002 Leganés sección 02002,10235,2807402002, Leganés sección 
1146,2807402003 Leganés sección 02003,10218,2807402003, Leganés sección 
1147,2807402004 Leganés sección 02004,10153,2807402004, Leganés sección 
1148,2807402005 Leganés sección 02005,10561,2807402005, Leganés sección 
1149,2807402006 Leganés sección 02006,9859,2807402006, Leganés sección 
1150,2807402008 Leganés sección 02008,9668,2807402008, Leganés sección 
1151,2807402009 Leganés sección 02009,9680,2807402009, Leganés sección 
1152,2807402010 Leganés sección 02010,10198,2807402010, Leganés sección 
1153,2807402011 Leganés sección 02011,12136,2807402011, Leganés sección 
1154,2807402012 Leganés sección 02012,10211,2807402012, Leganés sección 
1155,2807402013 Leganés sección 02013,9201,2807402013, Leganés sección 
1156,2807402014 Leganés sección 02014,13766,2807402014, Leganés sección 
1157,2807402015 Leganés sección 02015,9824,2807402015, Leganés sección 
1158,2807402016 Leganés sección 02016,10316,2807402016, Leganés sección 
1159,2807402017 Leganés sección 02017,10704,2807402017, Leganés sección 
1160,2807402019 Leganés sección 02019,11847,2807402019, Leganés sección 
1161,2807402020 Leganés sección 02020,13764,2807402020, Leganés sección 
1162,2807402021 Leganés sección 02021,12354,2807402021, Leganés sección 
1163,2807402022 Leganés sección 02022,15636,2807402022, Leganés sección 
1164,2807403 Leganés distrito 03,13174,2807403, Leganés distrito 
1165,2807403001 Leganés sección 03001,10891,2807403001, Leganés sección 
1166,2807403002 Leganés sección 03002,10207,2807403002, Leganés sección 
1167,2807403003 Leganés sección 03003,9953,2807403003, Leganés sección 
1168,2807403004 Leganés sección 03004,9799,2807403004, Leganés sección 
1169,2807403005 Leganés sección 03005,8849,2807403005, Leganés sección 
1170,2807403006 Leganés sección 03006,10086,2807403006, Leganés sección 
1171,2807403007 Leganés sección 03007,11062,2807403007, Leganés sección 
1172,2807403008 Leganés sección 03008,9643,2807403008, Leganés sección 
1173,2807403012 Leganés sección 03012,9731,2807403012, Leganés sección 
1174,2807403013 Leganés sección 03013,10237,2807403013, Leganés sección 
1175,2807403014 Leganés sección 03014,13048,2807403014, Leganés sección 
1176,2807403015 Leganés sección 03015,15352,2807403015, Leganés sección 
1177,2807403016 Leganés sección 03016,14158,2807403016, Leganés sección 
1178,2807403017 Leganés sección 03017,12839,2807403017, Leganés sección 
1179,2807403018 Leganés sección 03018,10448,2807403018, Leganés sección 
1180,2807403019 Leganés sección 03019,18409,2807403019, Leganés sección 
1181,2807403020 Leganés sección 03020,15361,2807403020, Leganés sección 
1182,2807403021 Leganés sección 03021,15007,2807403021, Leganés sección 
1183,2807403022 Leganés sección 03022,14554,2807403022, Leganés sección 
1184,2807403023 Leganés sección 03023,17707,2807403023, Leganés sección 
1185,2807403024 Leganés sección 03024,16685,2807403024, Leganés sección 
1186,2807404 Leganés distrito 04,12070,2807404, Leganés distrito 
1187,2807404001 Leganés sección 04001,11234,2807404001, Leganés sección 
1188,2807404002 Leganés sección 04002,11674,2807404002, Leganés sección 
1189,2807404003 Leganés sección 04003,12048,2807404003, Leganés sección 
1190,2807404004 Leganés sección 04004,11847,2807404004, Leganés sección 
1191,2807404005 Leganés sección 04005,13011,2807404005, Leganés sección 
1192,2807404006 Leganés sección 04006,12046,2807404006, Leganés sección 
1193,2807404007 Leganés sección 04007,13040,2807404007, Leganés sección 
1194,2807404008 Leganés sección 04008,11691,2807404008, Leganés sección 
1195,2807404009 Leganés sección 04009,11405,2807404009, Leganés sección 
1196,2807404010 Leganés sección 04010,11724,2807404010, Leganés sección 
1197,2807404011 Leganés sección 04011,12639,2807404011, Leganés sección 
1198,2807404012 Leganés sección 04012,10612,2807404012, Leganés sección 
1199,2807404013 Leganés sección 04013,12746,2807404013, Leganés sección 
1200,2807404014 Leganés sección 04014,12088,2807404014, Leganés sección 
1201,2807404015 Leganés sección 04015,13201,2807404015, Leganés sección 
1202,2807404016 Leganés sección 04016,13533,2807404016, Leganés sección 
1203,2807404017 Leganés sección 04017,13094,2807404017, Leganés sección 
1204,2807404018 Leganés sección 04018,11360,2807404018, Leganés sección 
1205,2807404019 Leganés sección 04019,12548,2807404019, Leganés sección 
1206,2807404020 Leganés sección 04020,11731,2807404020, Leganés sección 
1207,2807404021 Leganés sección 04021,12178,2807404021, Leganés sección 
1208,2807404022 Leganés sección 04022,11614,2807404022, Leganés sección 
1209,2807404023 Leganés sección 04023,11423,2807404023, Leganés sección 
1210,2807404024 Leganés sección 04024,12949,2807404024, Leganés sección 
1211,2807404025 Leganés sección 04025,10991,2807404025, Leganés sección 
1212,2807404026 Leganés sección 04026,12281,2807404026, Leganés sección 
1213,2807404027 Leganés sección 04027,12149,2807404027, Leganés sección 
1214,2807404028 Leganés sección 04028,11878,2807404028, Leganés sección 
1215,2807404029 Leganés sección 04029,12044,2807404029, Leganés sección 
1216,2807404030 Leganés sección 04030,12558,2807404030, Leganés sección 
1217,2807404031 Leganés sección 04031,11064,2807404031, Leganés sección 
1218,2807404032 Leganés sección 04032,11713,2807404032, Leganés sección 
1219,2807404033 Leganés sección 04033,11927,2807404033, Leganés sección 
1220,2807404034 Leganés sección 04034,11434,2807404034, Leganés sección 
1221,2807404035 Leganés sección 04035,10991,2807404035, Leganés sección 
1222,2807404036 Leganés sección 04036,12084,2807404036, Leganés sección 
1223,2807404037 Leganés sección 04037,14720,2807404037, Leganés sección 
1224,2807404038 Leganés sección 04038,11570,2807404038, Leganés sección 
1225,2807404039 Leganés sección 04039,11537,2807404039, Leganés sección 
1226,2807404040 Leganés sección 04040,12166,2807404040, Leganés sección 
1227,2807404041 Leganés sección 04041,12501,2807404041, Leganés sección 
1228,2807405 Leganés distrito 05,14120,2807405, Leganés distrito 
1229,2807405001 Leganés sección 05001,15274,2807405001, Leganés sección 
1230,2807405002 Leganés sección 05002,15329,2807405002, Leganés sección 
1231,2807405003 Leganés sección 05003,14252,2807405003, Leganés sección 
1232,2807405004 Leganés sección 05004,17119,2807405004, Leganés sección 
1233,2807405005 Leganés sección 05005,16147,2807405005, Leganés sección 
1234,2807405006 Leganés sección 05006,15617,2807405006, Leganés sección 
1235,2807405007 Leganés sección 05007,11934,2807405007, Leganés sección 
1236,2807405008 Leganés sección 05008,15927,2807405008, Leganés sección 
1237,2807405009 Leganés sección 05009,12846,2807405009, Leganés sección 
1238,2807405010 Leganés sección 05010,15302,2807405010, Leganés sección 
1239,2807405011 Leganés sección 05011,9509,2807405011, Leganés sección 
1240,2807405012 Leganés sección 05012,12463,2807405012, Leganés sección 
1241,2807405013 Leganés sección 05013,16682,2807405013, Leganés sección 
1242,2807405014 Leganés sección 05014,16020,2807405014, Leganés sección 
1243,2807405015 Leganés sección 05015,15363,2807405015, Leganés sección 
1244,2807405016 Leganés sección 05016,13103,2807405016, Leganés sección 
1245,2807405017 Leganés sección 05017,12965,2807405017, Leganés sección 
1246,2807405018 Leganés sección 05018,12918,2807405018, Leganés sección 
1247,2807405019 Leganés sección 05019,15099,2807405019, Leganés sección 
1248,2807405020 Leganés sección 05020,11985,2807405020, Leganés sección 
1249,2807406 Leganés distrito 06,10090,2807406, Leganés distrito 
1250,2807406001 Leganés sección 06001,9900,2807406001, Leganés sección 
1251,2807406002 Leganés sección 06002,9772,2807406002, Leganés sección 
1252,2807406003 Leganés sección 06003,11245,2807406003, Leganés sección 
1253,2807406004 Leganés sección 06004,8854,2807406004, Leganés sección 
1254,2807406005 Leganés sección 06005,8680,2807406005, Leganés sección 
1255,2807406006 Leganés sección 06006,9133,2807406006, Leganés sección 
1256,2807406008 Leganés sección 06008,9264,2807406008, Leganés sección 
1257,2807406009 Leganés sección 06009, ,2807406009, Leganés sección 
1258,2807406010 Leganés sección 06010,12270,2807406010, Leganés sección 
1259,2807407 Leganés distrito 07,15751,2807407, Leganés distrito 
1260,2807407001 Leganés sección 07001,20299,2807407001, Leganés sección 
1261,2807407002 Leganés sección 07002,17144,2807407002, Leganés sección 
1262,2807407003 Leganés sección 07003,16231,2807407003, Leganés sección 
1263,2807407004 Leganés sección 07004,15463,2807407004, Leganés sección 
1264,2807407005 Leganés sección 07005,16086,2807407005, Leganés sección 
1265,2807407006 Leganés sección 07006,13505,2807407006, Leganés sección 
1266,2807407007 Leganés sección 07007,12671,2807407007, Leganés sección 
1280,28079 Madrid,17059,28079, Madrid
1281,2807901 Madrid distrito 01,18314,2807901, Madrid distrito 
1282,2807901001 Madrid sección 01001,25059,2807901001, Madrid sección 
1283,2807901002 Madrid sección 01002,17175,2807901002, Madrid sección 
1284,2807901003 Madrid sección 01003,18631,2807901003, Madrid sección 
1285,2807901004 Madrid sección 01004,28239,2807901004, Madrid sección 
1286,2807901006 Madrid sección 01006,23063,2807901006, Madrid sección 
1287,2807901007 Madrid sección 01007,19434,2807901007, Madrid sección 
1288,2807901008 Madrid sección 01008,20660,2807901008, Madrid sección 
1289,2807901009 Madrid sección 01009,20171,2807901009, Madrid sección 
1290,2807901011 Madrid sección 01011,18591,2807901011, Madrid sección 
1291,2807901012 Madrid sección 01012,16914,2807901012, Madrid sección 
1292,2807901013 Madrid sección 01013,14459,2807901013, Madrid sección 
1293,2807901014 Madrid sección 01014,17521,2807901014, Madrid sección 
1294,2807901015 Madrid sección 01015,18500,2807901015, Madrid sección 
1295,2807901016 Madrid sección 01016,19378,2807901016, Madrid sección 
1296,2807901018 Madrid sección 01018,19144,2807901018, Madrid sección 
1297,2807901019 Madrid sección 01019,20584,2807901019, Madrid sección 
1298,2807901020 Madrid sección 01020,17404,2807901020, Madrid sección 
1299,2807901021 Madrid sección 01021,17956,2807901021, Madrid sección 
1300,2807901022 Madrid sección 01022,17162,2807901022, Madrid sección 
1301,2807901023 Madrid sección 01023,13700,2807901023, Madrid sección 
1302,2807901024 Madrid sección 01024,17135,2807901024, Madrid sección 
1303,2807901025 Madrid sección 01025,18477,2807901025, Madrid sección 
1304,2807901026 Madrid sección 01026,21557,2807901026, Madrid sección 
1305,2807901027 Madrid sección 01027,20074,2807901027, Madrid sección 
1306,2807901028 Madrid sección 01028,15721,2807901028, Madrid sección 
1307,2807901029 Madrid sección 01029,14601,2807901029, Madrid sección 
1308,2807901030 Madrid sección 01030,13025,2807901030, Madrid sección 
1309,2807901031 Madrid sección 01031,12273,2807901031, Madrid sección 
1310,2807901032 Madrid sección 01032,17146,2807901032, Madrid sección 
1311,2807901033 Madrid sección 01033,13786,2807901033, Madrid sección 
1312,2807901034 Madrid sección 01034,11238,2807901034, Madrid sección 
1313,2807901035 Madrid sección 01035,11642,2807901035, Madrid sección 
1314,2807901036 Madrid sección 01036,13135,2807901036, Madrid sección 
1315,2807901037 Madrid sección 01037,13505,2807901037, Madrid sección 
1316,2807901038 Madrid sección 01038,12875,2807901038, Madrid sección 
1317,2807901039 Madrid sección 01039,13922,2807901039, Madrid sección 
1318,2807901040 Madrid sección 01040,14014,2807901040, Madrid sección 
1319,2807901041 Madrid sección 01041,14379,2807901041, Madrid sección 
1320,2807901042 Madrid sección 01042,13519,2807901042, Madrid sección 
1321,2807901043 Madrid sección 01043,11826,2807901043, Madrid sección 
1322,2807901045 Madrid sección 01045,16794,2807901045, Madrid sección 
1323,2807901046 Madrid sección 01046,14199,2807901046, Madrid sección 
1324,2807901047 Madrid sección 01047,13083,2807901047, Madrid sección 
1325,2807901048 Madrid sección 01048,12384,2807901048, Madrid sección 
1326,2807901049 Madrid sección 01049,12510,2807901049, Madrid sección 
1327,2807901050 Madrid sección 01050,12978,2807901050, Madrid sección 
1328,2807901051 Madrid sección 01051,12912,2807901051, Madrid sección 
1329,2807901053 Madrid sección 01053,16779,2807901053, Madrid sección 
1330,2807901054 Madrid sección 01054,13694,2807901054, Madrid sección 
1331,2807901055 Madrid sección 01055,17085,2807901055, Madrid sección 
1332,2807901056 Madrid sección 01056,17268,2807901056, Madrid sección 
1333,2807901057 Madrid sección 01057,19789,2807901057, Madrid sección 
1334,2807901058 Madrid sección 01058,17329,2807901058, Madrid sección 
1335,2807901059 Madrid sección 01059,17435,2807901059, Madrid sección 
1336,2807901061 Madrid sección 01061,19970,2807901061, Madrid sección 
1337,2807901062 Madrid sección 01062,18582,2807901062, Madrid sección 
1338,2807901063 Madrid sección 01063,18472,2807901063, Madrid sección 
1339,2807901064 Madrid sección 01064,22466,2807901064, Madrid sección 
1340,2807901065 Madrid sección 01065,19710,2807901065, Madrid sección 
1341,2807901066 Madrid sección 01066,16044,2807901066, Madrid sección 
1342,2807901067 Madrid sección 01067,18203,2807901067, Madrid sección 
1343,2807901068 Madrid sección 01068,21162,2807901068, Madrid sección 
1344,2807901069 Madrid sección 01069,17771,2807901069, Madrid sección 
1345,2807901071 Madrid sección 01071,25149,2807901071, Madrid sección 
1346,2807901072 Madrid sección 01072,25466,2807901072, Madrid sección 
1347,2807901073 Madrid sección 01073,31670,2807901073, Madrid sección 
1348,2807901074 Madrid sección 01074,20592,2807901074, Madrid sección 
1349,2807901075 Madrid sección 01075,16956,2807901075, Madrid sección 
1350,2807901076 Madrid sección 01076,16725,2807901076, Madrid sección 
1351,2807901077 Madrid sección 01077,23685,2807901077, Madrid sección 
1352,2807901079 Madrid sección 01079,22501,2807901079, Madrid sección 
1353,2807901081 Madrid sección 01081,19782,2807901081, Madrid sección 
1354,2807901082 Madrid sección 01082,20444,2807901082, Madrid sección 
1355,2807901084 Madrid sección 01084,30195,2807901084, Madrid sección 
1356,2807901087 Madrid sección 01087,29164,2807901087, Madrid sección 
1357,2807901088 Madrid sección 01088,27035,2807901088, Madrid sección 
1358,2807901089 Madrid sección 01089,20503,2807901089, Madrid sección 
1359,2807901090 Madrid sección 01090,23035,2807901090, Madrid sección 
1360,2807901091 Madrid sección 01091,18091,2807901091, Madrid sección 
1361,2807901092 Madrid sección 01092,21260,2807901092, Madrid sección 
1362,2807901093 Madrid sección 01093,18001,2807901093, Madrid sección 
1363,2807901094 Madrid sección 01094,18636,2807901094, Madrid sección 
1364,2807901095 Madrid sección 01095,17867,2807901095, Madrid sección 
1365,2807901096 Madrid sección 01096,15550,2807901096, Madrid sección 
1366,2807901097 Madrid sección 01097,16783,2807901097, Madrid sección 
1367,2807901098 Madrid sección 01098,16316,2807901098, Madrid sección 
1368,2807901099 Madrid sección 01099,16101,2807901099, Madrid sección 
1369,2807901100 Madrid sección 01100,18358,2807901100, Madrid sección 
1370,2807901101 Madrid sección 01101,16964,2807901101, Madrid sección 
1371,2807901102 Madrid sección 01102,18215,2807901102, Madrid sección 
1372,2807901103 Madrid sección 01103,25324,2807901103, Madrid sección 
1373,2807901104 Madrid sección 01104,18411,2807901104, Madrid sección 
1374,2807901105 Madrid sección 01105,21579,2807901105, Madrid sección 
1375,2807901106 Madrid sección 01106,23931,2807901106, Madrid sección 
1376,2807901107 Madrid sección 01107,27817,2807901107, Madrid sección 
1377,2807901108 Madrid sección 01108,20688,2807901108, Madrid sección 
1378,2807901109 Madrid sección 01109,19175,2807901109, Madrid sección 
1379,2807901110 Madrid sección 01110,16822,2807901110, Madrid sección 
1380,2807901111 Madrid sección 01111,20000,2807901111, Madrid sección 
1381,2807901112 Madrid sección 01112,17398,2807901112, Madrid sección 
1382,2807901113 Madrid sección 01113,15568,2807901113, Madrid sección 
1383,2807901114 Madrid sección 01114,16830,2807901114, Madrid sección 
1384,2807901115 Madrid sección 01115,18565,2807901115, Madrid sección 
1385,2807901116 Madrid sección 01116,15635,2807901116, Madrid sección 
1386,2807901117 Madrid sección 01117,16553,2807901117, Madrid sección 
1387,2807901118 Madrid sección 01118,15575,2807901118, Madrid sección 
1388,2807901119 Madrid sección 01119,14327,2807901119, Madrid sección 
1389,2807901120 Madrid sección 01120,17806,2807901120, Madrid sección 
1390,2807901121 Madrid sección 01121,16655,2807901121, Madrid sección 
1391,2807901123 Madrid sección 01123,19017,2807901123, Madrid sección 
1392,2807901124 Madrid sección 01124,20203,2807901124, Madrid sección 
1393,2807902 Madrid distrito 02,19284,2807902, Madrid distrito 
1394,2807902001 Madrid sección 02001,19088,2807902001, Madrid sección 
1395,2807902002 Madrid sección 02002,17497,2807902002, Madrid sección 
1396,2807902003 Madrid sección 02003,19691,2807902003, Madrid sección 
1397,2807902004 Madrid sección 02004,18529,2807902004, Madrid sección 
1398,2807902005 Madrid sección 02005,17512,2807902005, Madrid sección 
1399,2807902006 Madrid sección 02006,19440,2807902006, Madrid sección 
1400,2807902007 Madrid sección 02007,19467,2807902007, Madrid sección 
1401,2807902008 Madrid sección 02008,17574,2807902008, Madrid sección 
1402,2807902009 Madrid sección 02009,23227,2807902009, Madrid sección 
1403,2807902010 Madrid sección 02010,18009,2807902010, Madrid sección 
1404,2807902011 Madrid sección 02011,20085,2807902011, Madrid sección 
1405,2807902013 Madrid sección 02013,20668,2807902013, Madrid sección 
1406,2807902014 Madrid sección 02014,17387,2807902014, Madrid sección 
1407,2807902015 Madrid sección 02015,17522,2807902015, Madrid sección 
1408,2807902016 Madrid sección 02016,23299,2807902016, Madrid sección 
1409,2807902017 Madrid sección 02017,21177,2807902017, Madrid sección 
1410,2807902018 Madrid sección 02018,23138,2807902018, Madrid sección 
1411,2807902019 Madrid sección 02019,23961,2807902019, Madrid sección 
1412,2807902020 Madrid sección 02020,21909,2807902020, Madrid sección 
1413,2807902021 Madrid sección 02021,17635,2807902021, Madrid sección 
1414,2807902022 Madrid sección 02022,16064,2807902022, Madrid sección 
1415,2807902023 Madrid sección 02023,17549,2807902023, Madrid sección 
1416,2807902024 Madrid sección 02024,19330,2807902024, Madrid sección 
1417,2807902025 Madrid sección 02025,16006,2807902025, Madrid sección 
1418,2807902026 Madrid sección 02026,19068,2807902026, Madrid sección 
1419,2807902027 Madrid sección 02027,18950,2807902027, Madrid sección 
1420,2807902028 Madrid sección 02028,13507,2807902028, Madrid sección 
1421,2807902029 Madrid sección 02029,13550,2807902029, Madrid sección 
1422,2807902030 Madrid sección 02030,18209,2807902030, Madrid sección 
1423,2807902031 Madrid sección 02031,20041,2807902031, Madrid sección 
1424,2807902032 Madrid sección 02032,19917,2807902032, Madrid sección 
1425,2807902033 Madrid sección 02033,18046,2807902033, Madrid sección 
1426,2807902034 Madrid sección 02034,16556,2807902034, Madrid sección 
1427,2807902035 Madrid sección 02035,15359,2807902035, Madrid sección 
1428,2807902036 Madrid sección 02036,17432,2807902036, Madrid sección 
1429,2807902037 Madrid sección 02037,18983,2807902037, Madrid sección 
1430,2807902038 Madrid sección 02038,15924,2807902038, Madrid sección 
1431,2807902039 Madrid sección 02039,18567,2807902039, Madrid sección 
1432,2807902040 Madrid sección 02040,16798,2807902040, Madrid sección 
1433,2807902041 Madrid sección 02041,15596,2807902041, Madrid sección 
1434,2807902042 Madrid sección 02042,15695,2807902042, Madrid sección 
1435,2807902043 Madrid sección 02043,14992,2807902043, Madrid sección 
1436,2807902044 Madrid sección 02044,14456,2807902044, Madrid sección 
1437,2807902045 Madrid sección 02045,13966,2807902045, Madrid sección 
1438,2807902046 Madrid sección 02046,12198,2807902046, Madrid sección 
1439,2807902047 Madrid sección 02047,11400,2807902047, Madrid sección 
1440,2807902048 Madrid sección 02048,14441,2807902048, Madrid sección 
1441,2807902049 Madrid sección 02049,20894,2807902049, Madrid sección 
1442,2807902050 Madrid sección 02050,13924,2807902050, Madrid sección 
1443,2807902051 Madrid sección 02051,20265,2807902051, Madrid sección 
1444,2807902052 Madrid sección 02052,20284,2807902052, Madrid sección 
1445,2807902053 Madrid sección 02053,19324,2807902053, Madrid sección 
1446,2807902054 Madrid sección 02054,16161,2807902054, Madrid sección 
1447,2807902055 Madrid sección 02055,17099,2807902055, Madrid sección 
1448,2807902056 Madrid sección 02056,16594,2807902056, Madrid sección 
1449,2807902057 Madrid sección 02057,14553,2807902057, Madrid sección 
1450,2807902058 Madrid sección 02058,15370,2807902058, Madrid sección 
1451,2807902059 Madrid sección 02059,16961,2807902059, Madrid sección 
1452,2807902060 Madrid sección 02060,17906,2807902060, Madrid sección 
1453,2807902061 Madrid sección 02061,17996,2807902061, Madrid sección 
1454,2807902062 Madrid sección 02062,15916,2807902062, Madrid sección 
1455,2807902063 Madrid sección 02063,16691,2807902063, Madrid sección 
1456,2807902064 Madrid sección 02064,17897,2807902064, Madrid sección 
1457,2807902065 Madrid sección 02065,18156,2807902065, Madrid sección 
1458,2807902066 Madrid sección 02066,20166,2807902066, Madrid sección 
1459,2807902067 Madrid sección 02067,13762,2807902067, Madrid sección 
1460,2807902068 Madrid sección 02068,14917,2807902068, Madrid sección 
1461,2807902069 Madrid sección 02069,17365,2807902069, Madrid sección 
1462,2807902070 Madrid sección 02070,18476,2807902070, Madrid sección 
1463,2807902071 Madrid sección 02071,19780,2807902071, Madrid sección 
1464,2807902072 Madrid sección 02072,18302,2807902072, Madrid sección 
1465,2807902073 Madrid sección 02073,19363,2807902073, Madrid sección 
1466,2807902074 Madrid sección 02074,18150,2807902074, Madrid sección 
1467,2807902075 Madrid sección 02075,16628,2807902075, Madrid sección 
1468,2807902077 Madrid sección 02077,16474,2807902077, Madrid sección 
1469,2807902078 Madrid sección 02078,16668,2807902078, Madrid sección 
1470,2807902079 Madrid sección 02079,18159,2807902079, Madrid sección 
1471,2807902080 Madrid sección 02080,20439,2807902080, Madrid sección 
1472,2807902081 Madrid sección 02081,18696,2807902081, Madrid sección 
1473,2807902082 Madrid sección 02082,14736,2807902082, Madrid sección 
1474,2807902083 Madrid sección 02083,17236,2807902083, Madrid sección 
1475,2807902085 Madrid sección 02085,23280,2807902085, Madrid sección 
1476,2807902086 Madrid sección 02086,19903,2807902086, Madrid sección 
1477,2807902087 Madrid sección 02087,23847,2807902087, Madrid sección 
1478,2807902088 Madrid sección 02088,16344,2807902088, Madrid sección 
1479,2807902089 Madrid sección 02089,20468,2807902089, Madrid sección 
1480,2807902090 Madrid sección 02090,18911,2807902090, Madrid sección 
1481,2807902091 Madrid sección 02091,20907,2807902091, Madrid sección 
1482,2807902092 Madrid sección 02092,20353,2807902092, Madrid sección 
1483,2807902093 Madrid sección 02093,17831,2807902093, Madrid sección 
1484,2807902094 Madrid sección 02094,26311,2807902094, Madrid sección 
1485,2807902095 Madrid sección 02095,23552,2807902095, Madrid sección 
1486,2807902096 Madrid sección 02096,26071,2807902096, Madrid sección 
1487,2807902097 Madrid sección 02097,21609,2807902097, Madrid sección 
1488,2807902098 Madrid sección 02098,22466,2807902098, Madrid sección 
1489,2807902099 Madrid sección 02099,19995,2807902099, Madrid sección 
1490,2807902100 Madrid sección 02100,20468,2807902100, Madrid sección 
1491,2807902101 Madrid sección 02101,24365,2807902101, Madrid sección 
1492,2807902102 Madrid sección 02102,20387,2807902102, Madrid sección 
1493,2807902103 Madrid sección 02103,25344,2807902103, Madrid sección 
1494,2807902104 Madrid sección 02104,22670,2807902104, Madrid sección 
1495,2807902105 Madrid sección 02105,23108,2807902105, Madrid sección 
1496,2807902106 Madrid sección 02106,22784,2807902106, Madrid sección 
1497,2807902107 Madrid sección 02107,24686,2807902107, Madrid sección 
1498,2807902108 Madrid sección 02108,24966,2807902108, Madrid sección 
1499,2807902109 Madrid sección 02109,24192,2807902109, Madrid sección 
1500,2807902110 Madrid sección 02110,24856,2807902110, Madrid sección 
1501,2807902111 Madrid sección 02111,21058,2807902111, Madrid sección 
1502,2807902112 Madrid sección 02112,22461,2807902112, Madrid sección 
1503,2807903 Madrid distrito 03,23227,2807903, Madrid distrito 
1504,2807903001 Madrid sección 03001,29825,2807903001, Madrid sección 
1505,2807903002 Madrid sección 03002,18575,2807903002, Madrid sección 
1506,2807903003 Madrid sección 03003,21338,2807903003, Madrid sección 
1507,2807903004 Madrid sección 03004,18115,2807903004, Madrid sección 
1508,2807903005 Madrid sección 03005,16374,2807903005, Madrid sección 
1509,2807903006 Madrid sección 03006,21469,2807903006, Madrid sección 
1510,2807903007 Madrid sección 03007,16100,2807903007, Madrid sección 
1511,2807903008 Madrid sección 03008,19540,2807903008, Madrid sección 
1512,2807903009 Madrid sección 03009,20345,2807903009, Madrid sección 
1513,2807903010 Madrid sección 03010,20875,2807903010, Madrid sección 
1514,2807903011 Madrid sección 03011,18125,2807903011, Madrid sección 
1515,2807903012 Madrid sección 03012,21608,2807903012, Madrid sección 
1516,2807903013 Madrid sección 03013,18904,2807903013, Madrid sección 
1517,2807903014 Madrid sección 03014,19556,2807903014, Madrid sección 
1518,2807903015 Madrid sección 03015,17368,2807903015, Madrid sección 
1519,2807903016 Madrid sección 03016,14007,2807903016, Madrid sección 
1520,2807903017 Madrid sección 03017,19370,2807903017, Madrid sección 
1521,2807903018 Madrid sección 03018,18531,2807903018, Madrid sección 
1522,2807903019 Madrid sección 03019,22626,2807903019, Madrid sección 
1523,2807903020 Madrid sección 03020,17707,2807903020, Madrid sección 
1524,2807903021 Madrid sección 03021,18195,2807903021, Madrid sección 
1525,2807903022 Madrid sección 03022,15104,2807903022, Madrid sección 
