,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
3687,2807920083 Madrid sección 20083,12534,2807920083, Madrid sección 
3688,2807920084 Madrid sección 20084, ,2807920084, Madrid sección 
3689,2807920085 Madrid sección 20085,14725,2807920085, Madrid sección 
3690,2807920086 Madrid sección 20086,13110,2807920086, Madrid sección 
3691,2807920087 Madrid sección 20087,11066,2807920087, Madrid sección 
3692,2807920088 Madrid sección 20088,13224,2807920088, Madrid sección 
3693,2807920090 Madrid sección 20090,17184,2807920090, Madrid sección 
3694,2807920091 Madrid sección 20091,11092,2807920091, Madrid sección 
3695,2807920092 Madrid sección 20092,12975,2807920092, Madrid sección 
3696,2807920093 Madrid sección 20093,17169,2807920093, Madrid sección 
3697,2807920095 Madrid sección 20095,19671,2807920095, Madrid sección 
3698,2807920096 Madrid sección 20096,21637,2807920096, Madrid sección 
3699,2807920097 Madrid sección 20097,20457,2807920097, Madrid sección 
3700,2807920098 Madrid sección 20098,18000,2807920098, Madrid sección 
3701,2807920099 Madrid sección 20099,27025,2807920099, Madrid sección 
3702,2807920100 Madrid sección 20100,13459,2807920100, Madrid sección 
3703,2807920101 Madrid sección 20101,17853,2807920101, Madrid sección 
3704,2807920102 Madrid sección 20102,17226,2807920102, Madrid sección 
3705,2807920103 Madrid sección 20103,16563,2807920103, Madrid sección 
3706,2807920104 Madrid sección 20104,18975,2807920104, Madrid sección 
3707,2807920105 Madrid sección 20105,21120,2807920105, Madrid sección 
3708,2807920106 Madrid sección 20106,16812,2807920106, Madrid sección 
3709,2807920107 Madrid sección 20107,16324,2807920107, Madrid sección 
3710,2807920108 Madrid sección 20108,23497,2807920108, Madrid sección 
3711,2807920109 Madrid sección 20109,13100,2807920109, Madrid sección 
3712,2807920110 Madrid sección 20110,19083,2807920110, Madrid sección 
3713,2807920111 Madrid sección 20111,14411,2807920111, Madrid sección 
3714,2807920112 Madrid sección 20112,17826,2807920112, Madrid sección 
3715,2807920113 Madrid sección 20113,18685,2807920113, Madrid sección 
3716,2807920114 Madrid sección 20114,18081,2807920114, Madrid sección 
3717,2807920115 Madrid sección 20115,16218,2807920115, Madrid sección 
3718,2807920116 Madrid sección 20116,15477,2807920116, Madrid sección 
3719,2807920117 Madrid sección 20117,19303,2807920117, Madrid sección 
3720,2807920118 Madrid sección 20118,20298,2807920118, Madrid sección 
3721,2807920119 Madrid sección 20119,19014,2807920119, Madrid sección 
3722,2807920120 Madrid sección 20120,17875,2807920120, Madrid sección 
3723,2807920121 Madrid sección 20121,16525,2807920121, Madrid sección 
3724,2807920122 Madrid sección 20122,23772,2807920122, Madrid sección 
3725,2807920123 Madrid sección 20123,17663,2807920123, Madrid sección 
3726,2807920124 Madrid sección 20124,22318,2807920124, Madrid sección 
3727,2807920125 Madrid sección 20125,20597,2807920125, Madrid sección 
3728,2807920126 Madrid sección 20126,17505,2807920126, Madrid sección 
3729,2807921 Madrid distrito 21,19138,2807921, Madrid distrito 
3730,2807921001 Madrid sección 21001,24462,2807921001, Madrid sección 
3731,2807921002 Madrid sección 21002,22778,2807921002, Madrid sección 
3732,2807921003 Madrid sección 21003,19644,2807921003, Madrid sección 
3733,2807921004 Madrid sección 21004,21811,2807921004, Madrid sección 
3734,2807921005 Madrid sección 21005,26462,2807921005, Madrid sección 
3735,2807921006 Madrid sección 21006,22726,2807921006, Madrid sección 
3736,2807921007 Madrid sección 21007,19713,2807921007, Madrid sección 
3737,2807921008 Madrid sección 21008,18013,2807921008, Madrid sección 
3738,2807921009 Madrid sección 21009,17279,2807921009, Madrid sección 
3739,2807921010 Madrid sección 21010,19374,2807921010, Madrid sección 
3740,2807921011 Madrid sección 21011,19344,2807921011, Madrid sección 
3741,2807921012 Madrid sección 21012,18786,2807921012, Madrid sección 
3742,2807921013 Madrid sección 21013,19469,2807921013, Madrid sección 
3743,2807921014 Madrid sección 21014,21147,2807921014, Madrid sección 
3744,2807921015 Madrid sección 21015,10556,2807921015, Madrid sección 
3745,2807921017 Madrid sección 21017,12230,2807921017, Madrid sección 
3746,2807921018 Madrid sección 21018,12532,2807921018, Madrid sección 
3747,2807921019 Madrid sección 21019,13649,2807921019, Madrid sección 
3748,2807921020 Madrid sección 21020,14275,2807921020, Madrid sección 
3749,2807921021 Madrid sección 21021,13338,2807921021, Madrid sección 
3750,2807921022 Madrid sección 21022,13629,2807921022, Madrid sección 
