Código INE,,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
41094,X,Dos Hermanas,Sevilla,Andalucía,135050,66330,68720,,44800,37450,82250,,5568,9973,70448,3161,5445,97507,2194,8881,3186,5544,1391,388,250,8150,6557,3005,1725,66160,46126,23468,12118,2474,1919,1163,515,4973,2638,823,391,,11.47729234,17.0297096,10.21909693,11.0173623,9.731628941,13.9624251,,0,2,8,0,0,9,0,1,33,0,2,53,0,0,3,0,0,0,0,0,0,0,1,6,1,3,16,115,1,9,128,,285,1076,,,,64,38,,74,80,12,,10,7,,0
3068,X,Elche/Elx,Alicante/Alacant,Comunitat Valenciana,234765,116386,118379,,79269,60315,139584,,7566,18033,116172,8816,10689,164532,3463,9789,4117,7448,1632,482,278,14394,11129,5641,3057,105885,67480,36167,19482,6524,4240,2332,1160,9431,4318,1348,650,,12.0256945,17.55017186,10.19433792,11.64485848,11.41683936,14.92184498,,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,12,2,10,4,,2065,8159,234,84,18,257,113,,199,,295,386,134,345,,0
28094,X,Fuenlabrada,Madrid,Madrid (Comunidad de),194514,95847,98667,,63334,45375,108709,,2000,6336,98263,7208,6502,122452,1381,5890,3026,1928,467,78,41,5318,4136,1748,986,88622,60883,31400,16092,5675,3995,2148,1116,5646,3046,940,465,,11.40098813,17.56201245,10.76014291,11.14032294,10.85144141,13.96670563,,0,0,3,0,0,4,0,1,10,0,0,17,0,0,3,0,1,0,0,0,0,0,0,1,0,2,13,47,0,4,51,,708,2746,34,15,8,58,31,,24,1,127,257,60,93,,0
28102,X,Getafe,Madrid,Madrid (Comunidad de),185180,90403,94777,,57884,41055,98939,,1472,7250,85192,5744,5050,107745,1343,4970,2309,1383,368,98,58,6121,4955,2461,1437,78652,55547,29695,15179,4682,3339,1784,853,4442,2574,869,427,,10.93701423,17.06739696,9.808209443,10.78540241,10.77561726,13.40773075,,0,1,20,0,0,15,0,2,27,0,0,52,0,0,4,0,0,1,0,1,1,0,1,13,0,4,49,173,0,9,182,,341,1524,,,,53,32,71,16,62,59,2,29,17,,0
33063,X,Gijón,Asturias,Asturias (Principado de),271717,127961,143756,,83601,67775,151376,,5384,19081,123059,7964,7403,167896,3254,9962,3600,5342,1713,507,275,15287,12336,5722,3155,108837,70950,34544,17952,5987,4112,2191,1152,6059,2904,938,476,,11.84737257,16.63881131,10.08610584,11.75443737,11.1352614,14.62632118,,0,2,44,0,3,25,0,6,81,0,4,167,0,0,3,0,0,1,0,0,1,0,1,15,2,9,91,373,2,25,428,,2745,9555,589,84,23,117,65,,75,,1073,552,65,102,,0
17102,X,Girona,Girona,Cataluña,103369,49809,53560,,31341,27065,58406,,3785,11777,48400,5692,4408,76071,2318,4708,2385,3536,1272,316,144,9181,7273,3722,2064,42278,29093,16462,8994,4347,2902,1541,757,3677,2047,867,463,,11.19620803,16.32455882,9.944496242,10.79967879,11.42667127,13.25613816,,0,4,100,0,3,34,1,7,114,0,0,177,0,0,3,0,2,1,0,0,3,0,2,32,0,2,42,443,1,20,506,,1446,5552,11,2,,76,25,,62,,827,326,53,64,,0
18117,X,Granada,Granada,Andalucía,233648,107829,125819,,77670,61711,139381,,14332,27480,112247,9371,7089,173509,5805,12427,4160,14260,3750,931,445,21014,16461,7680,4013,92936,60641,30027,15749,6137,3563,1716,898,5803,2845,988,519,,12.18125457,16.88265288,10.34058104,11.68454775,12.80933355,14.43640358,,0,2,26,0,6,73,0,21,178,0,3,80,0,0,4,0,0,0,0,0,4,0,1,19,3,3,59,417,3,36,443,,3307,11898,190,55,9,35,37,,460,,1420,852,114,135,,0
19162,X,Guadalajara,Guadalajara,Castilla-La Mancha,87484,42091,45393,,27379,24521,51900,,1834,4906,42812,3908,2664,57686,900,2440,1277,1828,436,87,43,3459,2513,1081,599,39743,25855,12998,6655,3103,1655,687,270,2318,1127,288,135,,12.11107412,17.3796663,11.26518647,11.64141081,13.62763777,14.84471959,,0,0,3,0,0,2,0,1,7,0,0,27,0,0,0,0,0,0,0,1,1,0,0,2,1,4,18,60,1,6,60,,279,1093,,,,18,11,3,22,71,78,10,40,26,,0
8115,X,"Hospitalet de Llobregat, L'",Barcelona,Cataluña,269382,130289,139093,,71547,39262,110809,,6707,23141,79641,7013,7087,126843,4030,6641,3463,6701,2546,818,458,19661,16346,9072,5195,68643,49689,28083,16608,4952,3636,2071,1027,5849,3750,1248,638,,10.61460288,15.61717057,9.113938762,10.35455341,10.5121668,12.87722517,,0,1,31,0,1,20,0,5,168,0,2,67,0,0,4,0,0,0,0,0,25,0,0,51,2,3,72,394,2,12,438,,,,,,,,,,,,,,,,,0
21068,X,Huelva,Huelva,Andalucía,143837,69043,74794,,47681,34611,82292,,4768,9318,72914,4429,4913,98494,1659,7877,2753,4750,1199,324,194,7314,5944,2972,1805,66958,44929,20944,11249,3023,2101,1242,571,4217,2030,566,286,,11.86172617,16.94558947,9.744407985,11.57147018,10.76569964,14.7766967,,0,0,1,0,0,10,0,4,28,0,0,33,0,0,3,0,0,0,0,0,1,0,1,0,1,1,19,81,1,6,95,,909,3326,,,,64,25,2,115,299,255,50,49,50,,0
